task_id,difficulty,domain,task_type,pde_system,model,task_score_out_of_25,avg_facet_score
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,BASE/GOLD,22.0,4.400
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,BASE/S1,25.0,5.000
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,BASE/S2,23.0,4.600
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,BASE/T,17.0,3.400
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,BASE/GOLD,23.0,4.600
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,BASE/S1,25.0,5.000
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,BASE/S2,23.0,4.600
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,BASE/T,16.0,3.200
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,BASE/GOLD,23.0,4.600
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,BASE/S1,25.0,5.000
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,BASE/S2,22.0,4.400
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,BASE/T,19.0,3.800
easy_laplace_2d_boundary_007,easy,potential_fields,boundary_value_problem,2D Laplace equation,BASE/GOLD,23.0,4.600
easy_laplace_2d_boundary_007,easy,potential_fields,boundary_value_problem,2D Laplace equation,BASE/S1,25.0,5.000
easy_laplace_2d_boundary_007,easy,potential_fields,boundary_value_problem,2D Laplace equation,BASE/S2,21.0,4.200
easy_laplace_2d_boundary_007,easy,potential_fields,boundary_value_problem,2D Laplace equation,BASE/T,19.0,3.800
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,BASE/GOLD,23.0,4.600
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,BASE/S1,25.0,5.000
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,BASE/S2,22.0,4.400
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,BASE/T,19.0,3.800
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,BASE/GOLD,23.0,4.600
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,BASE/S1,25.0,5.000
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,BASE/S2,20.0,4.000
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,BASE/T,18.0,3.600
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,BASE/GOLD,23.0,4.600
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,BASE/S1,25.0,5.000
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,BASE/S2,25.0,5.000
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,BASE/T,20.0,4.000
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,BASE/GOLD,24.0,4.800
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,BASE/S1,25.0,5.000
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,BASE/S2,23.0,4.600
