task_id,difficulty,domain,task_type,pde_system,model,prompt_setting,facet,facet_id,model_answer,reference_answer,assistant_view,scoring_standard,human_score_0_5,human_error_tags,human_notes,score,score_rationale
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Problem Formalization,problem_formalization,"The problem is to approximate the temperature field u(x,t) on a 1D spatial domain [0,L] and time interval [0,T], governed by the heat equation ∂u/∂t = α ∂²u/∂x², where α is the known thermal diffusivity. The initial condition u(x,0) = f(x) is given, and Dirichlet boundary conditions u(0,t)=T0, u(L,t)=TL are prescribed. The geometry (L), time interval (T), and specific values of α, f(x), T0, TL are not provided; these must be specified to fully define the problem.","critical_points: identifies a 1D time-dependent heat equation; states u(x,t) as the unknown temperature field; treats thermal diffusivity as known; explicitly state domain [0,1]×[0,1] and parameter values || variables: x; t; u(x,t) || known_parameters: alpha = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: alpha: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats known diffusivity as the main unknown => max 3. This is a forward solve, not an inverse parameter task.","AUTO_REVIEW: schema_valid=True | mentions cues: known, domain, geometry, field | check possible missing cues: unknown, parameter, forward, inverse, variable, identify, missing | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但不完整；4=明确区分未知量、已知量、数据、域和任务目标；5=完整精确，并在不编造条件的前提下标出缺失规格。,5,,,5,core_cue_ratio=1.00; reference_item_match=3/4
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Physics Constraints,physics_constraints,"The solution must satisfy the heat equation (PDE residual ≈ 0), the initial condition at t=0, and the Dirichlet boundary conditions at x=0 and x=L. These constraints are enforced as soft penalties in the loss function. No additional constraints (e.g., flux continuity, energy conservation) are required unless specified.","critical_points: includes heat-equation PDE residual; includes initial-condition enforcement; includes fixed-temperature Dirichlet boundary losses at both rod ends || canonical_pde: u_t = alpha * u_xx, with alpha = 1.0 || constraints: initial_condition: u(x,0) is given; suggested execution-validation IC: u(x,0)=sin(pi*x) | boundary_conditions: u(0,t)=0; u(1,t)=0 || reference_conditions: initial: u(x,0)=sin(pi*x) | boundary: u(0,t)=0; u(1,t)=0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits IC or boundary enforcement => max 3. The public problem explicitly states initial profile and fixed endpoint temperatures.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, equation, initial, boundary, dirichlet, constraint, conservation | check possible missing cues: neumann, periodic, divergence, incompressible, mass | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,4,,,4,core_cue_ratio=1.00; reference_item_match=5/8
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Model Choice,model_choice,"A physics-informed neural network (PINN) is appropriate because it can incorporate the PDE, initial condition, and boundary conditions directly into the loss function without requiring a mesh or labeled data. The network takes (x,t) as inputs and outputs u(x,t). A fully connected feedforward network with 4-6 hidden layers, 50-100 neurons per layer, and tanh activation is a standard choice for smooth diffusion problems. This model fits the PDE type (parabolic), available constraints (IC, BCs), and expected smooth solution.","critical_points: chooses a PINN or equivalent neural field with automatic differentiation; does not make the diffusivity trainable unless explicitly framed as optional || acceptable_model_choices: PINN; physics-informed neural network || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats known diffusivity as the main unknown => max 3. This is a forward solve, not an inverse parameter task.","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, network | check possible missing cues: mlp, operator, fourier, siren, architecture, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,5,,,5,core_cue_ratio=1.00; reference_item_match=3/4
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Training Strategy,training_strategy,"The loss function is L = λ_PDE * L_PDE + λ_IC * L_IC + λ_BC * L_BC, where L_PDE is the mean squared residual of the heat equation at collocation points sampled in the domain, L_IC is the MSE of the predicted vs. given initial profile at t=0, and L_BC is the MSE at the boundaries. Collocation points are sampled using Latin hypercube or random sampling, with higher density near boundaries and initial time if gradients are steep. The weights λ can be fixed or adaptively tuned (e.g., using gradient normalization). Optimizer: Adam with learning rate 1e-3, followed by L-BFGS for fine-tuning. Training proceeds until loss plateaus.","critical_points: samples interior, initial, and boundary points separately; balances PDE, IC, and BC losses; uses a reasonable optimizer schedule such as Adam then L-BFGS; describes sampling of interior, initial, and boundary collocation points; specifies use of multi-stage optimization (e.g., Adam then L-BFGS) || expected_loss_terms: PDE residual loss; initial condition loss; Dirichlet boundary loss || expected_training_strategy: sample collocation points in the space-time domain; sample initial and boundary points separately; normalize inputs or nondimensionalize variables; use Adam followed by L-BFGS or an equivalent optimizer schedule; explicitly describe collocation sampling for interior, initial, and boundary points; use two-stage optimization schedule (Adam then L-BFGS) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits IC or boundary enforcement => max 3. The public problem explicitly states initial profile and fixed endpoint temperatures.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, initial, sampling, collocation, optimizer, adam, l-bfgs, weight, adaptive | check possible missing cues: data, boundary, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,5,,,5,core_cue_ratio=1.00; reference_item_match=11/14
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Validation Failure Risks,validation_failure_risks,"Potential failures include: (1) Insufficient collocation points leading to poor PDE satisfaction; (2) Spectral bias causing failure to capture high-frequency components in the initial condition; (3) Gradient imbalance between loss terms causing the network to ignore one constraint; (4) Overfitting to collocation points if the network is too large; (5) Numerical instability for long time intervals or sharp gradients. Mitigations: adaptive sampling, loss weighting, Fourier feature embeddings, and validation against a numerical solver (e.g., finite difference) on a coarse grid.","critical_points: checks field error against analytic or numerical reference; reports PDE residual; reports IC and boundary errors || expected_validation: compare against analytical solution if using u(x,0)=sin(pi*x); report PDE residual error; report initial and boundary condition errors; explicitly compare against analytical solution and compute L2 error || failure_traps: omits initial condition loss; omits boundary loss; hallucinates Neumann boundary conditions; treats alpha as unknown without evidence; omits validation against analytic or numerical reference || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits IC or boundary enforcement => max 3. The public problem explicitly states initial profile and fixed endpoint temperatures.","AUTO_REVIEW: schema_valid=True | mentions cues: validation, failure, stability | check possible missing cues: validate, residual, error, compare, risk, identifiability, conservation, divergence | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,3,,,3,core_cue_ratio=1.00; reference_item_match=3/12
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Problem Formalization,problem_formalization,"The problem is to approximate the displacement u(x,t) of a one-dimensional vibrating string of length L over time T. The wave speed c is known. Initial displacement u(x,0) and initial velocity u_t(x,0) are provided. Boundary conditions are fixed (Dirichlet) at both endpoints: u(0,t)=0 and u(L,t)=0. The governing PDE is the wave equation: u_tt = c^2 u_xx. The domain is (x,t) in [0,L] x [0,T]. The task is to learn the solution u(x,t) that satisfies the PDE, initial conditions, and boundary conditions.","critical_points: identifies a 1D second-order wave equation; states displacement u(x,t) as the unknown; recognizes known wave speed and forward-solve setting; explicitly list both initial displacement and initial velocity conditions || variables: x; t; u(x,t) || known_parameters: c = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: c: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the wave equation as parabolic diffusion => max 2. The PDE type and dynamics are wrong.","AUTO_REVIEW: schema_valid=True | mentions cues: known, domain | check possible missing cues: unknown, parameter, geometry, field, forward, inverse, variable, identify | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但不完整；4=明确区分未知量、已知量、数据、域和任务目标；5=完整精确，并在不编造条件的前提下标出缺失规格。,5,,,5,core_cue_ratio=1.00; reference_item_match=3/4
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Physics Constraints,physics_constraints,"The physics constraints are: (1) The wave equation u_tt - c^2 u_xx = 0 in the interior. (2) Initial condition: u(x,0) = f(x) (given). (3) Initial velocity: u_t(x,0) = g(x) (given). (4) Boundary conditions: u(0,t)=0, u(L,t)=0. These constraints will be enforced as loss terms in a physics-informed neural network (PINN). The PDE residual is computed at collocation points in the domain. Initial condition and boundary condition losses are computed at respective points. The wave speed c is known and fixed.","critical_points: includes wave-equation residual with second time derivative; includes both initial displacement and initial velocity; includes fixed endpoint boundary conditions || canonical_pde: u_tt = c^2 * u_xx, with c = 1.0 || constraints: initial_condition: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary_conditions: u(0,t)=0; u(1,t)=0 || reference_conditions: initial: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary: u(0,t)=0; u(1,t)=0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; mentions only one initial condition => max 3. A second-order wave equation requires displacement and velocity initial data.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, equation, initial, boundary, constraint | check possible missing cues: dirichlet, neumann, periodic, conservation, divergence, incompressible, mass | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,5,,,5,core_cue_ratio=1.00; reference_item_match=7/8
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Model Choice,model_choice,"A physics-informed neural network (PINN) is chosen because it naturally incorporates the PDE, initial conditions, and boundary conditions into the loss function. The network takes (x,t) as input and outputs u(x,t). A fully connected feedforward network with 4-6 hidden layers, 50-100 neurons per layer, and tanh activation is suitable for this smooth 1D wave problem. The network must be sufficiently deep to capture the solution's complexity. Alternative spectral methods could be used but PINN is flexible for irregular domains and noisy data. The model choice is justified by the need to embed known physics directly into training.","critical_points: chooses a PINN or equivalent model capable of second derivatives; does not reduce the problem to a first-order heat/advection equation || acceptable_model_choices: PINN; physics-informed neural network || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the wave equation as parabolic diffusion => max 2. The PDE type and dynamics are wrong.","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, network | check possible missing cues: mlp, operator, fourier, siren, architecture, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,4,,,4,core_cue_ratio=1.00; reference_item_match=2/4
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Training Strategy,training_strategy,"Training uses a combined loss: L = L_PDE + w_IC * L_IC + w_BC * L_BC, where L_PDE is the mean squared residual of the wave equation at collocation points, L_IC is the mean squared error of u(x,0) and u_t(x,0) against given functions, and L_BC is the mean squared error of u(0,t) and u(L,t) against zero. Weights w_IC and w_BC can be tuned or set adaptively (e.g., using loss balancing). Collocation points are sampled using Latin Hypercube or random sampling in the domain, with higher density near boundaries and initial time if needed. The optimizer is Adam with learning rate 1e-3, followed by L-BFGS for fine-tuning. Training proceeds until loss plateaus. Validation uses a separate set of collocation points and checks PDE residual and IC/BC errors.","critical_points: uses autodiff for second temporal and spatial derivatives; balances PDE, two IC terms, and BC losses; mentions phase-aware or time-propagation stability considerations; samples separate collocation points for initial displacement and initial velocity; uses two-stage optimization (e.g., Adam then L-BFGS) || expected_loss_terms: PDE residual loss; initial displacement loss; initial velocity loss; Dirichlet boundary loss || expected_training_strategy: sample collocation points in space-time; use automatic differentiation for second time and spatial derivatives; balance PDE, initial, and boundary losses; consider curriculum or residual-based sampling for wave propagation; sample separate sets of points for initial displacement and initial velocity; use multi-stage optimization schedule || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; mentions only one initial condition => max 3. A second-order wave equation requires displacement and velocity initial data.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, initial, sampling, collocation, optimizer, adam, l-bfgs, weight, adaptive | check possible missing cues: data, boundary, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,4,,,4,core_cue_ratio=1.00; reference_item_match=9/15
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-ai/DeepSeek-V4-Flash,canonical_v0.3,Validation Failure Risks,validation_failure_risks,"Risks include: (1) Insufficient network capacity leading to underfitting, especially for high-frequency components. (2) Imbalanced loss weights causing the network to ignore one constraint. (3) Poor sampling of collocation points, especially near boundaries or sharp gradients. (4) Numerical instability from automatic differentiation for second-order derivatives. (5) Overfitting to collocation points if too few points are used. (6) Failure to converge due to stiff optimization landscape. Mitigations include adaptive loss weighting, gradient clipping, increasing collocation points, using Fourier feature embeddings for high frequencies, and monitoring validation residuals.","critical_points: checks displacement error; checks PDE residual and IC/BC errors; checks phase error over time || expected_validation: compare displacement against analytical or numerical reference solution; report PDE residual; report boundary and initial condition errors; check phase error over time || failure_traps: uses only one initial condition; omits velocity initial condition; ignores fixed-end boundary conditions; uses a first-order-in-time PDE form without justification; treats displacement and velocity initial conditions identically without separate sampling || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: validation, residual, risk, failure, stability | check possible missing cues: validate, error, compare, identifiability, conservation, divergence, reference | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,4,,,4,core_cue_ratio=1.00; reference_item_match=4/12
