variant,who,kind,mean_total_25
full,Pro/moonshotai/Kimi-K2.6,model,22.15
full,Pro/zai-org/GLM-4.7,model,19.92
full,Pro/zai-org/GLM-5.1,model,21.81
full,deepseek-ai/DeepSeek-V4-Flash,model,21.12
full,deepseek/deepseek-v4-pro,model,21.12
full,qwen/qwen3.7-max,model,21.19
full,BASE/GOLD,arm,22.92
full,BASE/S1,arm,24.12
full,BASE/S2,arm,21.69
full,BASE/T,arm,15.92
no_ext,Pro/moonshotai/Kimi-K2.6,model,22.15
no_ext,Pro/zai-org/GLM-4.7,model,20.19
no_ext,Pro/zai-org/GLM-5.1,model,21.81
no_ext,deepseek-ai/DeepSeek-V4-Flash,model,21.12
no_ext,deepseek/deepseek-v4-pro,model,21.38
no_ext,qwen/qwen3.7-max,model,21.42
no_ext,BASE/GOLD,arm,23.35
no_ext,BASE/S1,arm,24.77
no_ext,BASE/S2,arm,22.27
no_ext,BASE/T,arm,16.5
no_pf,Pro/moonshotai/Kimi-K2.6,model,22.62
no_pf,Pro/zai-org/GLM-4.7,model,20.65
no_pf,Pro/zai-org/GLM-5.1,model,22.58
no_pf,deepseek-ai/DeepSeek-V4-Flash,model,21.88
no_pf,deepseek/deepseek-v4-pro,model,21.69
no_pf,qwen/qwen3.7-max,model,21.81
no_pf,BASE/GOLD,arm,23.35
no_pf,BASE/S1,arm,24.12
no_pf,BASE/S2,arm,21.81
no_pf,BASE/T,arm,16.35
no_caps,Pro/moonshotai/Kimi-K2.6,model,22.62
no_caps,Pro/zai-org/GLM-4.7,model,20.92
no_caps,Pro/zai-org/GLM-5.1,model,22.58
no_caps,deepseek-ai/DeepSeek-V4-Flash,model,21.88
no_caps,deepseek/deepseek-v4-pro,model,21.96
no_caps,qwen/qwen3.7-max,model,22.04
no_caps,BASE/GOLD,arm,23.77
no_caps,BASE/S1,arm,24.77
no_caps,BASE/S2,arm,22.38
no_caps,BASE/T,arm,17.08
