task_id,model,facet,model_answer,score
easy_heat_1d_dirichlet_001,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to approximate the temperature field u(x,t) on a 1D rod of length L over time interval [0,T]. The governing PDE is the heat equation: u_t = α u_xx, where α is the known thermal diffusivity. Initial condition: u(x,0) = f(x) (provided). Boundary conditions: u(0,t) = g0(t), u(L,t) = gL(t) (prescribed fixed temperatures, i.e., Dirichlet conditions). The geometry (L) and time interval (T) are not specified; they must be provided to define the domain.",4
easy_heat_1d_dirichlet_001,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The solution must satisfy the heat equation (PDE residual ≈ 0), the initial condition (IC residual ≈ 0 at t=0), and the Dirichlet boundary conditions (BC residuals ≈ 0 at x=0 and x=L). These constraints are enforced as soft penalties in the loss function. No additional constraints (e.g., flux continuity) are needed.",3
easy_heat_1d_dirichlet_001,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is appropriate. The neural network takes (x,t) as inputs and outputs u(x,t). It fits the PDE type (parabolic, linear) and available data (no observations, only known IC/BC). PINNs can handle irregular domains and are robust for forward problems with known parameters. The model should have a moderate number of layers (e.g., 4-6 hidden layers, 50-100 neurons each) with tanh activation for smooth solutions.",3
easy_heat_1d_dirichlet_001,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Loss = λ_PDE * MSE_PDE + λ_IC * MSE_IC + λ_BC * MSE_BC. Sample collocation points: N_f interior points (e.g., Latin hypercube or random), N_IC points at t=0 along x, N_BC points at x=0 and x=L over time. Use Adam optimizer initially, then L-BFGS for fine-tuning. Adaptive loss weighting (e.g., using gradient statistics or NTK) may improve convergence. Monitor PDE residual and IC/BC errors during training.",4
easy_heat_1d_dirichlet_001,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Risk of spectral bias (low-frequency convergence) leading to inaccurate high-frequency features in the solution. Risk of unbalanced loss terms causing poor constraint satisfaction. Risk of overfitting to collocation points if too few points are used. Risk of training instability due to stiff PDE constraints. Mitigations: use adaptive sampling (e.g., resample points based on residual), learning rate scheduling, and multiple random seeds. Validate against analytical solution if available, or check energy conservation and maximum principle.",3
easy_wave_1d_icbc_002,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to approximate the displacement u(x,t) of a one-dimensional vibrating string of length L over time T. The wave speed c is known. The initial displacement u(x,0) and initial velocity u_t(x,0) are provided. Fixed endpoint boundary conditions u(0,t)=0 and u(L,t)=0 are specified. The governing PDE is the 1D wave equation: u_tt = c^2 u_xx.",4
easy_wave_1d_icbc_002,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The solution must satisfy the wave equation (PDE residual), initial conditions (displacement and velocity at t=0), and Dirichlet boundary conditions (zero displacement at endpoints). These constraints are enforced via loss terms in a physics-informed neural network (PINN) framework.",3
easy_wave_1d_icbc_002,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A fully connected neural network (e.g., MLP with 4-6 hidden layers, 50-100 neurons per layer, and tanh activation) is chosen. This architecture is suitable for approximating smooth solutions of the wave equation and allows automatic differentiation for computing PDE residuals. The network takes (x,t) as input and outputs u(x,t).",3
easy_wave_1d_icbc_002,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Training minimizes a composite loss: L = L_PDE + L_IC + L_BC. L_PDE enforces the wave equation at collocation points sampled in the domain (e.g., Latin hypercube or random sampling). L_IC enforces initial displacement and velocity at t=0 points. L_BC enforces zero displacement at x=0 and x=L. Use Adam optimizer with learning rate 1e-3, followed by L-BFGS for fine-tuning. Adaptive loss weighting (e.g., using gradient statistics) may improve convergence. Sample 10,000 collocation points, 500 initial condition points, and 200 boundary points per epoch.",4
easy_wave_1d_icbc_002,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Potential risks include: (1) Spectral bias causing poor approximation of high-frequency modes; (2) Imbalanced loss terms leading to underfitting of initial/boundary conditions; (3) Sensitivity to network architecture and hyperparameters; (4) Difficulty in enforcing the wave equation exactly, especially near boundaries; (5) Overfitting to collocation points if sampling is insufficient. Mitigations include using Fourier feature embeddings, adaptive loss weighting, and validation against analytical solutions or numerical simulations.",4
easy_poisson_2d_source_003,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to approximate the scalar field u(x,y) satisfying the Poisson equation -∇²u = f(x,y) on a rectangular domain Ω = [a,b]×[c,d], with Dirichlet boundary conditions u = g(x,y) on ∂Ω. The source term f and boundary values g are known. The domain geometry and boundary conditions are fully specified, but no additional data (e.g., measurements) are provided, so the workflow must rely solely on the PDE and boundary conditions.",4
easy_poisson_2d_source_003,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The model must enforce the Poisson equation at interior collocation points and the Dirichlet boundary conditions at boundary points. The physics constraints are: (1) residual of the PDE: r(x,y) = -∇²u_θ(x,y) - f(x,y) = 0 for (x,y) in Ω, and (2) boundary condition error: b(x,y) = u_θ(x,y) - g(x,y) = 0 for (x,y) on ∂Ω. No initial conditions or time dependence are involved.",4
easy_poisson_2d_source_003,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A fully-connected neural network (PINN) is chosen because it can directly incorporate the PDE and boundary conditions into the loss function, requires no mesh generation, and is well-suited for smooth solutions on rectangular domains. The network should have at least 3 hidden layers with 50-100 neurons each and activation functions like tanh or Swish to ensure smooth second derivatives. This choice is robust for the Poisson equation with known source and Dirichlet BCs, as it avoids discretization errors and can handle complex source terms.",3
easy_poisson_2d_source_003,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"The loss function is L = L_PDE + λ L_BC, where L_PDE is the mean squared residual of the PDE over interior collocation points, and L_BC is the mean squared error of the boundary condition over boundary points. Collocation points are sampled using Latin Hypercube Sampling or random sampling, with a higher density near boundaries (e.g., 80% interior, 20% boundary). The optimizer is Adam with learning rate 1e-3 for initial training, followed by L-BFGS for fine-tuning. Adaptive weighting (e.g., using gradient statistics or NTK) may be used to balance loss terms. Training proceeds until the total loss plateaus below a threshold (e.g., 1e-5).",4
easy_poisson_2d_source_003,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Potential failures include: (1) spectral bias causing poor high-frequency solution components; (2) unbalanced loss terms leading to boundary condition violation; (3) overfitting to collocation points if too few points are used; (4) non-uniqueness if the PDE is not strictly enforced; (5) sensitivity to network architecture and activation functions. Mitigations include using Fourier feature embeddings, adaptive collocation sampling, loss balancing, and cross-validation with analytical solutions if available.",3
easy_burgers_1d_periodic_004,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to model the velocity field u(x,t) governed by the 1D viscous Burgers equation: u_t + u*u_x = nu*u_xx, on a periodic domain x in [0, L] with known initial condition u(x,0) = u0(x) and known viscosity coefficient nu. The domain length L is not specified; it must be inferred or set. The solution may develop steep gradients, requiring careful handling.",4
easy_burgers_1d_periodic_004,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The model must satisfy the Burgers PDE residual, periodic boundary conditions u(0,t)=u(L,t) and u_x(0,t)=u_x(L,t), and the initial condition. The viscosity nu is known, so the PDE is fully specified. The periodic BCs are enforced via loss terms or by using Fourier features in the network.",4
easy_burgers_1d_periodic_004,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is chosen because it can incorporate the PDE, IC, and BCs directly into the loss function without requiring numerical discretization. The network outputs u(x,t) and uses automatic differentiation to compute residuals. For steep gradients, adaptive sampling or a multi-scale architecture (e.g., Fourier feature embeddings) may be needed to capture sharp transitions.",4
easy_burgers_1d_periodic_004,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"The loss function combines PDE residual, IC, and BC losses. Training uses L-BFGS or Adam optimizer with learning rate scheduling. Collocation points are sampled uniformly in the domain, with additional points concentrated near expected gradient regions (e.g., via residual-based adaptive refinement). The viscosity nu is fixed. Validation monitors the PDE residual and solution smoothness.",3
easy_burgers_1d_periodic_004,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Steep gradients may cause training instability or failure to converge. Periodic BCs may be violated if not enforced strongly. The model may overfit to collocation points if sampling is insufficient. The known viscosity may still lead to numerical stiffness if nu is very small, requiring careful loss weighting or gradient clipping.",3
easy_advection_1d_periodic_005,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to approximate the scalar field u(x,t) governed by the 1D advection equation ∂u/∂t + c ∂u/∂x = 0, where c is a known constant advection speed. The spatial domain is periodic, and an initial profile u(x,0) is provided. The goal is to model u(x,t) over time. Missing: specific value of c, exact initial profile, domain length, and time horizon. These affect the solution's speed, shape, and required temporal range.",5
easy_advection_1d_periodic_005,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The advection equation must be satisfied as a hard or soft constraint. Periodic boundary conditions: u(0,t) = u(L,t) for all t, where L is domain length. Initial condition: u(x,0) = f(x) given. No additional constraints. The physics loss will enforce the PDE residual and boundary/initial conditions.",4
easy_advection_1d_periodic_005,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is suitable because it can incorporate the PDE, periodic BCs (via input encoding or loss), and IC directly. The network outputs u(x,t) and is trained to minimize PDE residual, BC, and IC losses. For periodic BCs, using a Fourier feature embedding or periodic activation functions (e.g., sin/cos) can improve accuracy. Alternatively, a Fourier Neural Operator (FNO) could be used if data is available, but PINN is simpler for this forward problem.",4
easy_advection_1d_periodic_005,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Sample collocation points in the domain (x,t) using Latin hypercube or random sampling, with higher density near initial time and boundaries. Loss = λ_PDE * MSE_PDE + λ_BC * MSE_BC + λ_IC * MSE_IC. Use L-BFGS or Adam optimizer with learning rate scheduling. For periodic BCs, enforce by adding a penalty or by using a periodic coordinate transformation (e.g., sin(2πx/L), cos(2πx/L)). Monitor loss convergence and solution accuracy on a validation grid.",4
easy_advection_1d_periodic_005,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Risk of spectral bias (PINN failing to learn high-frequency components) if advection speed is high or initial profile has sharp gradients. Periodic BCs may be poorly enforced if not explicitly encoded. Overfitting to collocation points if too few or poorly distributed. Training may get stuck in local minima. Validation: compare against analytical solution (method of characteristics) on a fine grid; compute relative L2 error. If error is high, consider adaptive sampling, gradient clipping, or curriculum learning.",4
easy_reaction_diffusion_1d_006,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to model a one-dimensional scalar concentration field u(x,t) governed by a reaction-diffusion PDE: ∂u/∂t = D ∂²u/∂x² + R(u), where D is the diffusion coefficient and R(u) is a known nonlinear reaction term. Initial condition u(x,0) and boundary conditions (e.g., Dirichlet, Neumann, or periodic) are available but not specified in detail. The domain length and simulation time are also unspecified. The goal is to infer u(x,t) over the spatiotemporal domain.",4
easy_reaction_diffusion_1d_006,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The model must satisfy the PDE residual, initial condition, and boundary conditions. The diffusion term enforces smoothness and conservation-like behavior, while the reaction term introduces nonlinear source/sink effects. The known R(u) provides a strong physics constraint. Missing details: exact form of R(u), values of D, domain boundaries, and specific initial/boundary conditions. These must be provided to define the loss terms precisely.",3
easy_reaction_diffusion_1d_006,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is appropriate because it can incorporate the PDE, initial, and boundary conditions directly into the loss function without requiring discretized data. The network takes (x,t) as inputs and outputs u(x,t). The architecture should be a fully connected feedforward network with 4-6 hidden layers and 50-100 neurons per layer, using tanh or sin activations to handle smooth solutions. This choice fits the PDE type (parabolic) and allows flexible enforcement of constraints. Alternative methods like finite differences would require grid generation and are less suitable for sparse or irregular data.",4
easy_reaction_diffusion_1d_006,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"The loss function combines: (1) PDE residual: mean squared error of ∂u/∂t - D ∂²u/∂x² - R(u) over collocation points sampled in the domain; (2) initial condition loss: MSE of u(x,0) vs. given initial data; (3) boundary condition loss: MSE of u at boundaries vs. given BCs. Use Latin hypercube sampling for collocation points (e.g., 10,000 interior points, 1,000 boundary points, 500 initial points). Optimize with Adam (learning rate 1e-3) for 10,000 iterations, then L-BFGS for fine-tuning. Use automatic differentiation for derivatives. If R(u) is stiff, consider adaptive loss weighting or gradient clipping.",4
easy_reaction_diffusion_1d_006,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Potential failures: (1) The known R(u) may be stiff or cause sharp gradients, leading to training instability or poor convergence. (2) Missing boundary condition details could lead to incorrect enforcement. (3) The PINN may fail to capture multi-scale dynamics if D is very small or large. (4) Overfitting to collocation points if sampling is insufficient. (5) The model may not generalize to unseen initial conditions. Mitigations: use adaptive collocation sampling, curriculum learning for stiff terms, and validate against a held-out set of analytical or numerical solutions if available.",4
easy_laplace_2d_boundary_007,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to estimate the steady-state potential field u(x,y) in a 2D rectangular region Ω = [0,Lx]×[0,Ly] with no internal sources, governed by Laplace's equation ∇²u = 0. Dirichlet boundary conditions u = g(x,y) are prescribed on all sides. The domain geometry (Lx, Ly) and boundary function g are not specified, so the workflow must assume they are known or can be sampled.",4
easy_laplace_2d_boundary_007,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The primary constraint is Laplace's equation: ∂²u/∂x² + ∂²u/∂y² = 0 in Ω. Dirichlet conditions enforce u = g on ∂Ω. No additional constraints (e.g., Neumann, Robin, or time dependence) are given. The solution must be smooth and harmonic, satisfying the maximum principle.",5
easy_laplace_2d_boundary_007,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is chosen because it naturally incorporates the PDE residual and boundary conditions into the loss function, works without internal data, and handles irregular geometries or complex boundaries. The network outputs u_θ(x,y) with inputs (x,y). The architecture should be a fully connected network with 4-6 hidden layers, 50-100 neurons per layer, and activation functions like tanh or Swish to ensure smoothness. This fits the elliptic PDE type and the lack of internal observations.",3
easy_laplace_2d_boundary_007,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"The loss function L = λ_PDE * L_PDE + λ_BC * L_BC, where L_PDE = (1/N_f) Σ (∂²u_θ/∂x² + ∂²u_θ/∂y²)² over N_f collocation points sampled inside Ω, and L_BC = (1/N_b) Σ (u_θ - g)² over N_b boundary points. Use Latin hypercube sampling for collocation points and uniform sampling on boundaries. Optimize with Adam (learning rate 1e-3) for 10k-20k epochs, then L-BFGS for fine-tuning. Adaptive loss weighting (e.g., using gradient statistics) may stabilize training. Normalize inputs to [-1,1] and scale outputs if needed.",4
easy_laplace_2d_boundary_007,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Risks include: (1) Insufficient collocation points leading to poor PDE satisfaction, especially near boundaries; (2) Spectral bias causing failure to capture high-frequency variations in g; (3) Training getting stuck in local minima due to stiff PDE loss; (4) Overfitting to boundary data if λ_BC is too high; (5) Sensitivity to network architecture and activation functions. Mitigations: increase N_f adaptively, use Fourier feature embeddings for high frequencies, employ curriculum learning, and validate against a finite difference solution on a coarse grid.",3
medium_advection_diffusion_008,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"The problem is to approximate the one-dimensional evolution of a scalar concentration u(x,t) governed by the advection-diffusion equation: ∂u/∂t + v ∂u/∂x = D ∂²u/∂x², where v is the advection speed and D is the diffusion coefficient, both known constants. The domain is one-dimensional with specified boundary conditions (e.g., Dirichlet, Neumann, or periodic) and initial condition u(x,0). The goal is to learn the solution u(x,t) over a spatiotemporal domain, typically using a physics-informed neural network (PINN) that incorporates the PDE residual as a loss term.",4
medium_advection_diffusion_008,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The model must satisfy the advection-diffusion PDE, boundary conditions, and initial condition. The PDE imposes a balance between temporal change, advective transport, and diffusive smoothing. The known v and D fix the relative strength of advection and diffusion, affecting the solution's sharpness and potential for numerical instability. Boundary conditions (e.g., fixed value, zero flux) and initial condition must be enforced exactly or as soft constraints. The solution must be smooth due to diffusion but may develop sharp gradients if advection dominates (high Péclet number).",3
medium_advection_diffusion_008,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is appropriate because it can incorporate the PDE, boundary, and initial conditions directly into the loss function without requiring discretized data. The network takes (x,t) as inputs and outputs u(x,t). The loss includes: (1) PDE residual: ∂u/∂t + v ∂u/∂x - D ∂²u/∂x², (2) boundary condition loss at domain edges, (3) initial condition loss at t=0. A fully connected feedforward network with tanh activation and 4-6 hidden layers of 50-100 neurons is a reasonable starting point. For advection-dominated regimes (high Péclet number), adaptive loss weighting or gradient clipping may be needed to avoid training instability. Alternatively, a Fourier feature embedding or a modified architecture (e.g., with periodic activations) can help capture high-frequency features.",4
medium_advection_diffusion_008,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Training uses a two-stage approach: first, pre-train on initial and boundary data to enforce constraints, then jointly optimize all loss terms. Collocation points are sampled using Latin hypercube or Sobol sequences over the spatiotemporal domain, with denser sampling near boundaries and initial time. The loss is a weighted sum of PDE, BC, and IC terms, with weights tuned via gradient statistics (e.g., using NTK-based adaptive weighting or simple scaling). Optimizer: Adam with learning rate 1e-3 for 10,000-50,000 iterations, followed by L-BFGS for fine-tuning. For high Péclet numbers, use curriculum learning (start with low v or high D) or add a viscosity term temporarily. Validation metrics include relative L2 error on a held-out analytical solution (if available) or on a high-resolution numerical simulation (e.g., finite difference).",4
medium_advection_diffusion_008,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks: (1) Advection-dominated regime (high Péclet number) can cause sharp fronts that PINNs struggle to resolve, leading to high PDE residual and poor accuracy. Mitigation: use adaptive collocation, gradient clipping, or a modified loss weighting. (2) Boundary condition mismatch if BCs are not enforced strongly enough, causing unphysical solutions near edges. Mitigation: increase BC loss weight or use hard constraints via output transformations. (3) Overfitting to collocation points if too few points or if the network is too large. Mitigation: use regularization (e.g., weight decay) and monitor validation error. (4) Sensitivity to initial condition noise or errors. Mitigation: ensure IC is smooth or use data augmentation. (5) Failure to converge if the loss landscape is non-convex; use multiple random seeds and early stopping.",4
