task_id,difficulty,domain,task_type,pde_system,model,task_score_out_of_25,avg_facet_score
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/moonshotai/Kimi-K2.6,20.0,4.000
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/zai-org/GLM-5.1,20.0,4.000
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,deepseek-v4-flash,20.0,4.000
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,deepseek-v4-pro,20.0,4.000
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,qwen/qwen3.7-max,19.0,3.800
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,z-ai/glm-4.7,20.0,4.000
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,Pro/moonshotai/Kimi-K2.6,20.0,4.000
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,Pro/zai-org/GLM-5.1,20.0,4.000
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,deepseek-v4-flash,19.0,3.800
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,deepseek-v4-pro,20.0,4.000
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,qwen/qwen3.7-max,20.0,4.000
easy_burgers_1d_periodic_004,easy,fluid_dynamics,forward_pde_solving,1D viscous Burgers equation,z-ai/glm-4.7,20.0,4.000
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/moonshotai/Kimi-K2.6,21.0,4.200
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/zai-org/GLM-5.1,18.0,3.600
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,deepseek-v4-flash,19.0,3.800
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,deepseek-v4-pro,20.0,4.000
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,qwen/qwen3.7-max,22.0,4.400
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,z-ai/glm-4.7,19.0,3.800
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,Pro/moonshotai/Kimi-K2.6,21.0,4.200
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,Pro/zai-org/GLM-5.1,21.0,4.200
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,deepseek-v4-flash,20.0,4.000
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,deepseek-v4-pro,20.0,4.000
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,qwen/qwen3.7-max,18.0,3.600
easy_reaction_diffusion_1d_006,easy,chemical_biology,forward_pde_solving,1D reaction-diffusion equation,z-ai/glm-4.7,19.0,3.800
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/moonshotai/Kimi-K2.6,21.0,4.200
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/zai-org/GLM-5.1,21.0,4.200
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,21.0,4.200
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-pro,20.0,4.000
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,qwen/qwen3.7-max,20.0,4.000
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,z-ai/glm-4.7,21.0,4.200
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,Pro/moonshotai/Kimi-K2.6,19.0,3.800
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,Pro/zai-org/GLM-5.1,21.0,4.200
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,deepseek-v4-flash,21.0,4.200
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,deepseek-v4-pro,21.0,4.200
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,qwen/qwen3.7-max,19.0,3.800
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,z-ai/glm-4.7,19.0,3.800
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,Pro/moonshotai/Kimi-K2.6,21.0,4.200
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,Pro/zai-org/GLM-5.1,22.0,4.400
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,deepseek-v4-flash,21.0,4.200
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,deepseek-v4-pro,21.0,4.200
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,qwen/qwen3.7-max,20.0,4.000
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,z-ai/glm-4.7,20.0,4.000
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,Pro/moonshotai/Kimi-K2.6,17.0,3.400
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,Pro/zai-org/GLM-5.1,18.0,3.600
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,deepseek-v4-flash,17.0,3.400
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,deepseek-v4-pro,18.0,3.600
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,qwen/qwen3.7-max,17.0,3.400
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,z-ai/glm-4.7,19.0,3.800
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,Pro/moonshotai/Kimi-K2.6,20.0,4.000
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,Pro/zai-org/GLM-5.1,21.0,4.200
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,deepseek-v4-flash,21.0,4.200
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,deepseek-v4-pro,21.0,4.200
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,qwen/qwen3.7-max,20.0,4.000
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,z-ai/glm-4.7,20.0,4.000
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,Pro/moonshotai/Kimi-K2.6,20.0,4.000
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,Pro/zai-org/GLM-5.1,21.0,4.200
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,deepseek-v4-flash,20.0,4.000
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,deepseek-v4-pro,18.0,3.600
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,qwen/qwen3.7-max,20.0,4.000
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,z-ai/glm-4.7,19.0,3.800
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,Pro/moonshotai/Kimi-K2.6,20.0,4.000
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,Pro/zai-org/GLM-5.1,18.0,3.600
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,deepseek-v4-flash,20.0,4.000
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,deepseek-v4-pro,20.0,4.000
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,qwen/qwen3.7-max,16.0,3.200
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,z-ai/glm-4.7,16.0,3.200
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,Pro/moonshotai/Kimi-K2.6,25.0,5.000
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,Pro/zai-org/GLM-5.1,23.0,4.600
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,deepseek-v4-flash,20.0,4.000
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,deepseek-v4-pro,20.0,4.000
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,qwen/qwen3.7-max,20.0,4.000
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,z-ai/glm-4.7,20.0,4.000
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,Pro/moonshotai/Kimi-K2.6,21.0,4.200
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,Pro/zai-org/GLM-5.1,15.0,3.000
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,deepseek-v4-flash,17.0,3.400
