task_id,difficulty,domain,task_type,pde_system,model,prompt_setting,facet,facet_id,model_answer,reference_answer,assistant_view,scoring_standard,human_score_0_5,human_error_tags,human_notes,schema_valid,parse_error,normalized_file,score,score_rationale
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Problem Formalization,problem_formalization,"Governing PDE: $u_t = \alpha u_{xx}$ on $x \in (0,L)$, $t \in (0,T]$, with known thermal diffusivity $\alpha$, prescribed initial profile $u(x,0)=u_0(x)$, and Dirichlet boundaries $u(0,t)=g_0(t)$, $u(L,t)=g_L(t)$. Numerical values for $\alpha$, $L$, $T$, $u_0$, $g_0$, and $g_L$ are treated as user inputs; they are described as known but not explicitly listed in the task. No source term is mentioned, so the equation is assumed homogeneous. No observational sensor data are indicated, defaulting the workflow to a pure physics-driven approximation, though a data-fidelity term can be added if measurements become available.","critical_points: identifies a 1D time-dependent heat equation; states u(x,t) as the unknown temperature field; treats thermal diffusivity as known; explicitly state domain [0,1]×[0,1] and parameter values || variables: x; t; u(x,t) || known_parameters: alpha = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: alpha: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats known diffusivity as the main unknown => max 3. This is a forward solve, not an inverse parameter task.","AUTO_REVIEW: schema_valid=True | mentions cues: known | check possible missing cues: unknown, parameter, domain, geometry, field, forward, inverse, variable | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=1.00; reference_item_match=2/4
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Physics Constraints,physics_constraints,"The interior residual $u_t - \alpha u_{xx}$ must vanish. Dirichlet and initial conditions uniquely determine the solution for this parabolic problem. The maximum principle bounds the solution by extrema on the parabolic boundary and serves as a post-hoc sanity check. Because the rod length $L$ and time horizon $T$ are not numerically specified, their values must be supplied to define the computational domain before sampling. The task states diffusivity is known but does not confirm it is spatially uniform; if $\alpha$ varies in $x$, the residual must be updated to $\partial_t u - \partial_x(\alpha(x)\partial_x u)=0$.","critical_points: includes heat-equation PDE residual; includes initial-condition enforcement; includes fixed-temperature Dirichlet boundary losses at both rod ends || canonical_pde: u_t = alpha * u_xx, with alpha = 1.0 || constraints: initial_condition: u(x,0) is given; suggested execution-validation IC: u(x,0)=sin(pi*x) | boundary_conditions: u(0,t)=0; u(1,t)=0 || reference_conditions: initial: u(x,0)=sin(pi*x) | boundary: u(0,t)=0; u(1,t)=0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits IC or boundary enforcement => max 3. The public problem explicitly states initial profile and fixed endpoint temperatures.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, initial, boundary, dirichlet | check possible missing cues: pde, equation, neumann, periodic, constraint, conservation, divergence, incompressible | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=0.80; reference_item_match=5/8
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Model Choice,model_choice,"A fully connected physics-informed neural network (PINN) with inputs $(x,t)$ and scalar output $\hat{u}(x,t)$, using tanh activations in 4–6 hidden layers of 50–100 neurons. Tanh is chosen because the heat equation admits smooth solutions and its derivatives are well-behaved. To avoid soft-penalty balancing issues, enforce the Dirichlet and initial conditions architecturally via $\hat{u}(x,t) = u_b(x,t) + x(L-x)t \, \text{NN}(x,t)$, where $u_b$ is a smooth lifting function matching the prescribed BCs and IC. If $u_0$ is incompatible with $g_0(0)$ or $g_L(0)$ at the corners, a smoothed lifting function or soft-penalty fallback is required.","critical_points: chooses a PINN or equivalent neural field with automatic differentiation; does not make the diffusivity trainable unless explicitly framed as optional || acceptable_model_choices: PINN; physics-informed neural network || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats known diffusivity as the main unknown => max 3. This is a forward solve, not an inverse parameter task.","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, network | check possible missing cues: mlp, operator, fourier, siren, architecture, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=3/4
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Training Strategy,training_strategy,"Minimize $\mathcal{L} = \mathcal{L}_{\text{pde}} + \lambda_{\text{bc}}\mathcal{L}_{\text{bc}} + \lambda_{\text{ic}}\mathcal{L}_{\text{ic}}$, where each term is the mean squared error on collocation points for the interior residual, boundaries, and initial line. Sample collocation points uniformly or via Latin Hypercube Sampling over the space-time cylinder, after normalizing $x$ and $t$ to $[0,1]$. Train first with Adam (learning rate $10^{-3}$ with decay) for several thousand iterations, then refine with L-BFGS. If soft constraints are used instead of exact architectural enforcement, initialize $\lambda_{\text{bc}}, \lambda_{\text{ic}} \gg 1$ or employ NTK-based adaptive weighting. Validate against a fine finite-difference or spectral reference solution; monitor relative $L^2$ error and maximum-principle compliance.","critical_points: samples interior, initial, and boundary points separately; balances PDE, IC, and BC losses; uses a reasonable optimizer schedule such as Adam then L-BFGS; describes sampling of interior, initial, and boundary collocation points; specifies use of multi-stage optimization (e.g., Adam then L-BFGS) || expected_loss_terms: PDE residual loss; initial condition loss; Dirichlet boundary loss || expected_training_strategy: sample collocation points in the space-time domain; sample initial and boundary points separately; normalize inputs or nondimensionalize variables; use Adam followed by L-BFGS or an equivalent optimizer schedule; explicitly describe collocation sampling for interior, initial, and boundary points; use two-stage optimization schedule (Adam then L-BFGS) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits IC or boundary enforcement => max 3. The public problem explicitly states initial profile and fixed endpoint temperatures.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, initial, sampling, collocation, adam, l-bfgs, weight, adaptive | check possible missing cues: loss, data, boundary, optimizer, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=11/14
easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Validation Failure Risks,validation_failure_risks,"(1) Spectral bias: the network may underfit high-frequency initial transients; mitigate with Fourier feature embeddings or sequential time-marching. (2) Causality violation: later-time accuracy can mask early-time errors; mitigate with causal training weights or overlapping time windows. (3) Boundary leakage: soft Dirichlet penalties can fail to hold temperatures exactly at the rod ends; exact architectural enforcement is preferred. (4) Missing observational data: without measurements, model-form errors (e.g., incorrect $\alpha$, unmodeled sources, or non-constant diffusivity) cannot be detected or corrected. (5) Long-horizon instability: large $T$ can cause error accumulation; mitigate by dividing the temporal domain and warm-starting each window from the previous solution.","critical_points: checks field error against analytic or numerical reference; reports PDE residual; reports IC and boundary errors || expected_validation: compare against analytical solution if using u(x,0)=sin(pi*x); report PDE residual error; report initial and boundary condition errors; explicitly compare against analytical solution and compute L2 error || failure_traps: omits initial condition loss; omits boundary loss; hallucinates Neumann boundary conditions; treats alpha as unknown without evidence; omits validation against analytic or numerical reference || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits IC or boundary enforcement => max 3. The public problem explicitly states initial profile and fixed endpoint temperatures.","AUTO_REVIEW: schema_valid=True | mentions cues: error, stability | check possible missing cues: validate, validation, residual, compare, risk, failure, identifiability, conservation | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=1.00; reference_item_match=5/12
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Problem Formalization,problem_formalization,"Model the scalar displacement u(x,t) of a homogeneous 1D string governed by the wave equation u_tt - c^2 u_xx = 0 on x in (0,L) and t in (0,T], with fixed Dirichlet boundaries u(0,t) = u(L,t) = 0, initial displacement u(x,0) = f(x), and initial velocity u_t(x,0) = g(x). The wave speed c is known. The domain length L, final time T, and any external forcing are not specified; L and T must be provided to define the computational domain, and forcing is assumed zero unless stated otherwise.","critical_points: identifies a 1D second-order wave equation; states displacement u(x,t) as the unknown; recognizes known wave speed and forward-solve setting; explicitly list both initial displacement and initial velocity conditions || variables: x; t; u(x,t) || known_parameters: c = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: c: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the wave equation as parabolic diffusion => max 2. The PDE type and dynamics are wrong.","AUTO_REVIEW: schema_valid=True | mentions cues: known, domain | check possible missing cues: unknown, parameter, geometry, field, forward, inverse, variable, identify | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,"core_cue_ratio=0.60; reference_item_match=3/4; pf_strict_cap<=4: 5 requires known/unknown split, task type, missing-spec handling, task-specific decision, and high reference match"
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Physics Constraints,physics_constraints,"Enforce zero PDE residual in the interior, exact Dirichlet conditions at both endpoints for all time, and both initial conditions at t=0. The initial data must be compatible with the boundaries (f(0)=f(L)=0). Because no damping or forcing is specified, the model assumes a conservative hyperbolic system; if dissipation or sources exist, the current formulation is misspecified.","critical_points: includes wave-equation residual with second time derivative; includes both initial displacement and initial velocity; includes fixed endpoint boundary conditions || canonical_pde: u_tt = c^2 * u_xx, with c = 1.0 || constraints: initial_condition: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary_conditions: u(0,t)=0; u(1,t)=0 || reference_conditions: initial: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary: u(0,t)=0; u(1,t)=0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; mentions only one initial condition => max 3. A second-order wave equation requires displacement and velocity initial data.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, initial, dirichlet | check possible missing cues: equation, boundary, neumann, periodic, constraint, conservation, divergence, incompressible | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=1.00; reference_item_match=6/8
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Model Choice,model_choice,"Use a Physics-Informed Neural Network (PINN) with a Fourier-feature or sinusoidal-activation MLP (e.g., SIREN) rather than a standard ReLU network. Oscillatory solutions of the wave equation contain multi-frequency standing-wave superpositions that standard deep networks struggle to represent due to spectral bias; positional encoding or sinusoidal activations better capture the high-frequency eigenmodes and propagating wave fronts. The network maps (x,t) to a scalar displacement û(x,t).","critical_points: chooses a PINN or equivalent model capable of second derivatives; does not reduce the problem to a first-order heat/advection equation || acceptable_model_choices: PINN; physics-informed neural network || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the wave equation as parabolic diffusion => max 2. The PDE type and dynamics are wrong.","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, mlp, fourier, siren, network | check possible missing cues: operator, architecture, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=1.00; reference_item_match=2/4
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Training Strategy,training_strategy,"Minimize a weighted composite loss L = λ_pde L_pde + λ_bc L_bc + λ_ic_u L_ic_u + λ_ic_v L_ic_v. L_pde penalizes û_tt - c^2 û_xx on space-time collocation points; L_bc enforces û=0 at x=0,L; L_ic_u enforces û(x,0)=f(x); and L_ic_v enforces û_t(x,0)=g(x). Sample collocation points via Latin Hypercube Sampling, with denser sampling along the initial slice and boundaries. Use adaptive weighting (e.g., NTK or GradNorm) to balance gradient magnitudes across terms. Optimize with Adam (lr 1e-3) followed by L-BFGS refinement. To stabilize the hyperbolic evolution, employ a causal/time-marching curriculum: train on progressively longer subintervals [0, T_k] to prevent future-time information from corrupting early-time convergence.","critical_points: uses autodiff for second temporal and spatial derivatives; balances PDE, two IC terms, and BC losses; mentions phase-aware or time-propagation stability considerations; samples separate collocation points for initial displacement and initial velocity; uses two-stage optimization (e.g., Adam then L-BFGS) || expected_loss_terms: PDE residual loss; initial displacement loss; initial velocity loss; Dirichlet boundary loss || expected_training_strategy: sample collocation points in space-time; use automatic differentiation for second time and spatial derivatives; balance PDE, initial, and boundary losses; consider curriculum or residual-based sampling for wave propagation; sample separate sets of points for initial displacement and initial velocity; use multi-stage optimization schedule || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; mentions only one initial condition => max 3. A second-order wave equation requires displacement and velocity initial data.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, initial, sampling, collocation, adam, l-bfgs, weight, adaptive | check possible missing cues: residual, data, boundary, optimizer, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=11/15
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Validation Failure Risks,validation_failure_risks,"Key risks are: (1) spectral bias causing poor resolution of high-frequency modes or sharp initial gradients (e.g., plucked-string kinks); (2) long-time integration leading to phase drift and energy non-conservation; (3) incompatible initial/boundary data producing persistent boundary artifacts; (4) missing L or T preventing proper domain definition; (5) absence of interior observations so that an incorrect modal superposition may still yield small PDE residuals; and (6) violation of causality if global space-time training allows future states to influence past states.","critical_points: checks displacement error; checks PDE residual and IC/BC errors; checks phase error over time || expected_validation: compare displacement against analytical or numerical reference solution; report PDE residual; report boundary and initial condition errors; check phase error over time || failure_traps: uses only one initial condition; omits velocity initial condition; ignores fixed-end boundary conditions; uses a first-order-in-time PDE form without justification; treats displacement and velocity initial conditions identically without separate sampling || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, risk, conservation | check possible missing cues: validate, validation, error, compare, failure, identifiability, divergence, stability | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=7/12
