manual_file,task_id,difficulty,domain,task_type,pde_system,model,model_display,facet,facet_id,human_score,auto_score,workbook_initial_score,manual_minus_auto,abs_diff,human_notes,auto_rationale,matched_auto
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,Problem Formalization,problem_formalization,5,4,5,1,1,,"core_cue_ratio=1.00; reference_item_match=3/4; pf_strict_cap<=4: 5 requires known/unknown split, task type, missing-spec handling, task-specific decision, and high reference match",yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,Kimi-K2.6,Problem Formalization,problem_formalization,5,4,5,1,1,,core_cue_ratio=1.00; reference_item_match=2/4,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/zai-org/GLM-4.7,GLM-4.7,Problem Formalization,problem_formalization,4,4,4,0,0,,core_cue_ratio=1.00; reference_item_match=3/4,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,Physics Constraints,physics_constraints,4,4,4,0,0,,core_cue_ratio=1.00; reference_item_match=5/8,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,Kimi-K2.6,Physics Constraints,physics_constraints,5,4,4,1,1,,core_cue_ratio=0.80; reference_item_match=5/8,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/zai-org/GLM-4.7,GLM-4.7,Physics Constraints,physics_constraints,3,4,4,-1,1,,core_cue_ratio=1.00; reference_item_match=5/8,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,Model Choice,model_choice,5,5,5,0,0,,core_cue_ratio=1.00; reference_item_match=3/4,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,Kimi-K2.6,Model Choice,model_choice,5,5,5,0,0,,core_cue_ratio=1.00; reference_item_match=3/4,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/zai-org/GLM-4.7,GLM-4.7,Model Choice,model_choice,3,4,4,-1,1,,core_cue_ratio=0.40; reference_item_match=2/4,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,Training Strategy,training_strategy,5,5,5,0,0,,core_cue_ratio=1.00; reference_item_match=11/14,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/moonshotai/Kimi-K2.6,Kimi-K2.6,Training Strategy,training_strategy,4,5,5,-1,1,,core_cue_ratio=1.00; reference_item_match=11/14,yes
manual_scoring_selected_01_09_12_17_20_25_v0.3_compare.xlsx,easy_heat_1d_dirichlet_001,easy,heat_transfer,forward_pde_solving,1D heat equation,Pro/zai-org/GLM-4.7,GLM-4.7,Training Strategy,training_strategy,4,5,5,-1,1,,core_cue_ratio=1.00; reference_item_match=11/14,yes
