task_id,difficulty,domain,task_type,pde_system,model,prompt_setting,facet,facet_id,model_answer,reference_answer,assistant_view,scoring_standard,human_score_0_5,human_error_tags,human_notes,schema_valid,parse_error,normalized_file,score,score_rationale,cue_rules_pending,claim_findings
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Problem Formalization,problem_formalization,"The problem is to approximate the displacement u(x,t) of a one-dimensional vibrating string with fixed endpoints. The wave equation is u_tt = c^2 u_xx for x in [0, L] and t in [0, T], with known wave speed c. Initial conditions: u(x,0) = f(x) and u_t(x,0) = g(x) from measured data. Boundary conditions: u(0,t)=0 and u(L,t)=0. The measured initial data may not satisfy the endpoint conditions at (0,0) and (L,0) exactly, i.e., f(0)≠0, f(L)≠0, or g(0)≠0, g(L)≠0. The goal is to design a physics-informed workflow that handles this incompatibility.","critical_points: identifies a 1D second-order wave equation; states displacement u(x,t) as the unknown; recognizes known wave speed and forward-solve setting; explicitly list both initial displacement and initial velocity conditions || variables: x; t; u(x,t) || known_parameters: c = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: c: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; the prompt states the initial data may be incompatible with the boundary conditions and the plan neither checks compatibility nor states a remedy => max 3. Corner compatibility is an announced part of the task specification.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: known | check possible missing cues: unknown, parameter, domain, geometry, field, forward, inverse, variable | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,"core_cue_ratio=0.40; reference_item_match=3/4; pf_strict_cap<=4: 5 requires known/unknown split, task type, missing-spec handling, task-specific decision, and high reference match",cap_no_compatibility_handling,
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Physics Constraints,physics_constraints,"The PDE residual is enforced: u_tt - c^2 u_xx = 0. Boundary conditions are enforced at x=0 and x=L for all t: u(0,t)=0, u(L,t)=0. Initial conditions are enforced at t=0: u(x,0) = f(x) (pointwise) and u_t(x,0) = g(x) (pointwise, requiring one time derivative of u). For compatibility, we compute the mismatch at corners: δ0 = |f(0)-0|, δL = |f(L)-0|, and similarly for g at boundaries. If max(δ0,δL) > tolerance ε (e.g., 1e-3), we correct the initial data by applying a smooth tapering (e.g., multiplying f and g by a function that goes to zero near boundaries within a small interval) to force compatibility without introducing spurious artifacts. Alternatively, if correction is undesired, we treat the BC and IC as soft constraints with high weights. Additionally, we monitor total energy E(t) = 0.5 ∫₀ᴸ (u_t² + c² u_x²) dx, which should be conserved for the ideal system.","critical_points: includes wave-equation residual with second time derivative; includes both initial displacement and initial velocity; includes fixed endpoint boundary conditions; enforces the initial velocity as a constraint on the time derivative of the network output (or hard-encodes it via a time-factor ansatz); addresses corner compatibility between initial data and endpoint conditions || canonical_pde: u_tt = c^2 * u_xx, with c = 1.0 || constraints: initial_condition: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary_conditions: u(0,t)=0; u(1,t)=0 || reference_conditions: initial: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary: u(0,t)=0; u(1,t)=0 | incompatible_validation_instance: u(x,0)=sin(pi*x)+0.05 with zero endpoint values (deliberately corner-incompatible; reserved for a future execution-validity round) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; enforces only the displacement initial condition, or treats the initial velocity as a value constraint on u rather than a constraint on the time derivative of the network output (or an equivalent hard-encoding) => max 2. The second IC of a second-order-in-time equation is derivative-level; a value treatment breaks characteristic propagation.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, initial, boundary, constraint | check possible missing cues: equation, dirichlet, neumann, periodic, conservation, divergence, incompressible, mass | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,5,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,5,core_cue_ratio=1.00; reference_item_match=12/13,cap_velocity_ic_value,
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Model Choice,model_choice,"A physics-informed neural network (PINN) is chosen because it naturally handles noisy, sparse data and can incorporate PDE and boundary/initial constraints via a composite loss function. The model is a fully connected feedforward neural network with inputs (x,t) and output u. Automatic differentiation provides the derivatives needed for PDE residual, velocity IC, and energy computation. This architecture is flexible and can accommodate the initial data inconsistency via soft constraints or data preprocessing. The network depth and width (e.g., 4 hidden layers, 64 neurons each) are chosen to balance expressivity and overfitting risk given the measurement noise.","critical_points: chooses a PINN or equivalent model capable of second derivatives; does not reduce the problem to a first-order heat/advection equation || acceptable_model_choices: PINN; physics-informed neural network || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, architecture, network | check possible missing cues: mlp, operator, fourier, siren, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,5,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,5,core_cue_ratio=1.00; reference_item_match=3/4,,
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Training Strategy,training_strategy,"The loss function L = λ₁ L_pde + λ₂ L_bc + λ₃ L_ic_u + λ₄ L_ic_ut + λ₅ L_compatibility. L_pde is the mean squared residual of the wave equation at interior collocation points. L_bc forces u(0,t)=0 and u(L,t)=0 at boundary points. L_ic_u is the MSE between predicted u(x,0) and f(x) at initial points. L_ic_ut is the MSE between predicted u_t(x,0) and g(x) at initial points. L_compatibility is an additional penalty term that encourages u(0,0)=0, u(L,0)=0, u_t(0,0)=0, u_t(L,0)=0, but this can be omitted if data are corrected. Sampling: Latin hypercube or random sampling for interior points (~10,000), dense grid at t=0 and boundaries (~1,000 each). Optimizer: Adam first (low learning rate) then L-BFGS for fine-tuning. Weights λ_i are initially set equal and adjusted if validation metrics indicate imbalance. Compatibility check: before training, compute max corner mismatch; if > ε, apply data correction (smooth tapering) to enforce compatibility exactly. If correction is not allowed, increase weights for BC and corner loss terms.","critical_points: uses autodiff for second temporal and spatial derivatives; balances PDE, two IC terms, and BC losses; mentions phase-aware or time-propagation stability considerations; samples separate collocation points for initial displacement and initial velocity; uses two-stage optimization (e.g., Adam then L-BFGS) || expected_loss_terms: PDE residual loss; initial displacement loss; initial velocity loss; Dirichlet boundary loss || expected_training_strategy: sample collocation points in space-time; use automatic differentiation for second time and spatial derivatives; balance PDE, initial, and boundary losses; consider curriculum or residual-based sampling for wave propagation; sample separate sets of points for initial displacement and initial velocity; use multi-stage optimization schedule || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; enforces only the displacement initial condition, or treats the initial velocity as a value constraint on u rather than a constraint on the time derivative of the network output (or an equivalent hard-encoding) => max 2. The second IC of a second-order-in-time equation is derivative-level; a value treatment breaks characteristic propagation.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, data, initial, boundary, sampling, collocation, optimizer, adam, l-bfgs, weight | check possible missing cues: normalize, adaptive | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,core_cue_ratio=1.00; reference_item_match=9/15,cap_velocity_ic_value,
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Validation Failure Risks,validation_failure_risks,"Validation involves monitoring: (1) PDE residual on a hold-out set of collocation points—should be < 1e-3. (2) Energy conservation: relative change in total energy over [0,T] should be less than 1% (tolerance 0.01). (3) Maximum deviation from boundary and initial conditions on validation grids (separate from training) should be within measurement noise levels. Failure modes include: (a) if initial data are highly inconsistent, the PINN may sacrifice PDE accuracy near corners, leading to large residuals; (b) if the network is too small, it may not capture high-frequency content; (c) if learning rate is too high, training may diverge. To mitigate, we implement adaptive weighting based on gradient statistics and early stopping based on validation loss. If validation energy drift exceeds 1%, we retrain with increased loss weights on PDE and energy penalty.","critical_points: checks displacement error; checks PDE residual and IC/BC errors; checks phase error over time; monitors energy drift with an explicit tolerance; includes a characteristic/d'Alembert consistency or reflection-behavior check || expected_validation: compare displacement against analytical or numerical reference solution; report PDE residual; report boundary and initial condition errors; check phase error over time || failure_traps: uses only one initial condition; omits velocity initial condition; ignores fixed-end boundary conditions; uses a first-order-in-time PDE form without justification; treats displacement and velocity initial conditions identically without separate sampling; treats initial velocity as a value constraint (misses derivative-level enforcement); no corner compatibility check between IC and BC; claims energy conservation monitoring without a drift tolerance || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; the prompt states the initial data may be incompatible with the boundary conditions and the plan neither checks compatibility nor states a remedy => max 3. Corner compatibility is an announced part of the task specification.; validation omits every wave-specific check (energy drift with tolerance, d'Alembert/characteristic consistency, reflection behavior) => max 3. Field MSE alone cannot expose wave-specific failure modes.","AUTO_REVIEW: schema_valid=True | mentions cues: validation, residual, failure, conservation | check possible missing cues: validate, error, compare, risk, identifiability, divergence, stability, reference | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,core_cue_ratio=1.00; reference_item_match=9/17,cap_no_compatibility_handling|cap_no_wave_specific_validation,
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Problem Formalization,problem_formalization,"The problem is a 2D Laplace equation Δu = 0 on an L-shaped domain Ω (a unit square with one quadrant removed), with prescribed Dirichlet boundary conditions on ∂Ω. The re-entrant corner (interior angle 270°) induces a non-smooth solution: u behaves as r^{2/3} sin(2θ/3) near that corner, leading to an unbounded gradient. The domain lacks internal sources, and exact boundary data are given. Missing from the specification is the explicit boundary function; we assume it is known and consistent with the singular behavior. The workflow must handle the singularity to obtain an accurate potential field.","critical_points: identifies the Laplace boundary value problem on an L-shaped (re-entrant corner) domain; states that the exact solution has an r^(2/3)-type singularity with unbounded gradient at the corner || variables: x; y; u(x,y) || known_parameters: domain geometry (L-shape); Dirichlet boundary data || unknowns: u(x,y) || domain_spec: space: L-shape: [-1,1]^2 minus the closed quadrant [0,1]x[-1,0] | time: not applicable || parameter_values: corner_angle: 3*pi/2 | singularity_exponent: 2/3 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; states a corner-singularity exponent inconsistent with the re-entrant angle (theory: 2/3 for the 3*pi/2 corner) => max 2. Hallucinated specification: the exponent is determined by the public geometry.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: known, domain, field, missing | check possible missing cues: unknown, parameter, geometry, forward, inverse, variable, identify | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,"core_cue_ratio=1.00; reference_item_match=2/2; pf_strict_cap<=4: 5 requires known/unknown split, task type, missing-spec handling, task-specific decision, and high reference match",,
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Physics Constraints,physics_constraints,"The physics constraints are the Laplace equation (Δu = 0) inside Ω, enforced as a residual loss at collocation points, and Dirichlet boundary conditions (u = g on ∂Ω) enforced as a separate loss. No Neumann or Robin conditions are present. The singular corner requires careful treatment because the PDE residual involves second derivatives, which are unbounded there. The loss formulation must be adapted to allow the network to represent the singular gradient, e.g., using a composite ansatz or adaptive weighting. Alternatively, the problem can be transformed by removing the singularity analytically and solving for a smoother residual.","critical_points: Laplace residual plus Dirichlet boundary enforcement on all boundary segments; does not assume global smoothness of the solution || canonical_pde: Laplace equation: u_xx + u_yy = 0 on the L-shaped domain || constraints: boundary_conditions: Dirichlet data on the whole L-shaped boundary (trace of the singular analytic solution) || reference_conditions: boundary: trace of u = r^(2/3)*sin(2*theta/3) on the L-shaped boundary (private instance) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; states a corner-singularity exponent inconsistent with the re-entrant angle (theory: 2/3 for the 3*pi/2 corner) => max 2. Hallucinated specification: the exponent is determined by the public geometry.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, equation, boundary, dirichlet, neumann, constraint | check possible missing cues: initial, periodic, conservation, divergence, incompressible, mass | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,core_cue_ratio=1.00; reference_item_match=2/5,,
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Model Choice,model_choice,"A physics-informed neural network (PINN) with a composite architecture is chosen. The model splits the potential into a known singular part (e.g., u_s = c * r^{2/3} sin(2θ/3) around the corner, with c determined from boundary conditions) and a smooth residual part represented by a standard feedforward network (tanh or swish). Alternatively, a single network can be used with feature engineering: polar coordinates centered at the corner as additional inputs, and a trainable asymptotic factor. The model must have sufficient capacity near the corner; a multi-scale Fourier feature network or adaptive activation functions may also help. This decomposition explicitly captures the singular behavior, leaving a smooth correction that is easier to learn.","critical_points: chooses a corner-aware mechanism (local refinement, singular enrichment r^(2/3)-type basis, domain decomposition, or gradient-weighted sampling); explains why a plain spectrally-biased smooth network fails near the corner || acceptable_model_choices: PINN; physics-informed neural network; neural field with Laplace residual || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the domain as smooth and applies uniform collocation with a plain MLP without any corner-specific mechanism => max 2. The corner singularity is the decision pivot of this task.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, fourier, architecture, network | check possible missing cues: mlp, operator, siren, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,5,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,5,core_cue_ratio=1.00; reference_item_match=4/5,cap_no_corner_mechanism,
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Training Strategy,training_strategy,"Collocation points are sampled with non-uniform density: a higher density near the re-entrant corner (e.g., using a log‑linear or adaptive refinement strategy) to resolve the singular region. Points far from the corner are sampled uniformly. The loss function combines the PDE residual (weighted by 1) and boundary loss (weighted by 10 for stability). A separate loss term can enforce the known asymptotic form near the corner. Training uses Adam optimizer initially (100k steps) followed by L-BFGS (5k steps). Validation metrics are computed separately: relative L2 error in the whole domain, in a small corner patch (e.g., radius 0.1), and the maximum gradient norm near the corner to assess singularity capture.","critical_points: collocation plan concentrates points near the re-entrant corner; handles the unbounded gradient (loss weighting or enrichment) explicitly || expected_loss_terms: Laplace residual loss; Dirichlet boundary condition loss || expected_training_strategy: sample interior collocation points; sample boundary points on all four sides; normalize coordinates; ensure boundary loss is adequately weighted || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the domain as smooth and applies uniform collocation with a plain MLP without any corner-specific mechanism => max 2. The corner singularity is the decision pivot of this task.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, initial, boundary, collocation, optimizer, adam, l-bfgs, weight, adaptive | check possible missing cues: data, sampling, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,core_cue_ratio=1.00; reference_item_match=5/8,cap_no_corner_mechanism,
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Validation Failure Risks,validation_failure_risks,"A standard smooth network (e.g., tanh with uniform sampling) fails because it cannot represent the unbounded gradient at the corner; the network's smoothness forces a flattened approximation, leading to high residual and boundary error at the corner. Uniform collocation misses the singular region, so the loss is dominated by smooth areas, and the network never learns the correct local behavior. Validation metrics that average over the whole domain may mask large corner errors. Risks include non-convergence, spurious oscillations, or divergence of the optimization. Using a single global loss weight without corner emphasis may lead to underfitting the singularity. The composite ansatz mitigates these risks but requires careful tuning of the asymptotic coefficient and network size.","critical_points: reports corner-neighborhood error separately from the bulk; checks against the analytic singular solution or a refined reference near the corner || expected_validation: compare with analytical solution u=sin(pi*x)*sinh(pi*y)/sinh(pi); report boundary error; report Laplace residual || failure_traps: uniform collocation with plain smooth MLP and no corner mechanism; states a corner-singularity exponent inconsistent with the re-entrant angle; only global error metric, no corner-local assessment || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; validation reports only a global error metric with no corner-local assessment => max 3. Global metrics hide the corner failure this task is about.","AUTO_REVIEW: schema_valid=True | mentions cues: validation, residual, error, risk, divergence | check possible missing cues: validate, compare, failure, identifiability, conservation, stability, reference | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,4,,,True,,runs/explore_stability_20260714/sample2/normalized/deepseek-v4-flash__canonical_v0.4.jsonl,4,core_cue_ratio=1.00; reference_item_match=4/8,cap_global_metric_only,
