task_id,difficulty,domain,task_type,pde_system,model,prompt_setting,facet,facet_id,model_answer,reference_answer,assistant_view,scoring_standard,human_score_0_5,human_error_tags,human_notes,schema_valid,parse_error,normalized_file,score,score_rationale,cue_rules_pending,claim_findings
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Problem Formalization,problem_formalization,"Define the boundary-value problem ∇²u = f on a rectangular domain Ω ⊂ ℝ² with u = g on ∂Ω, where f is the known source term and g prescribes Dirichlet values. Domain extents, the explicit functional forms of f and g, and any coefficient fields are unspecified; they must be provided as callable functions or discrete data to instantiate the workflow. The target is a surrogate u_θ(x,y) that maps coordinates to the scalar field.","critical_points: identifies a 2D elliptic Poisson boundary-value problem; states scalar field u(x,y) as unknown; recognizes source term is known; states source term and sign convention explicitly || variables: x; y; u(x,y) || known_parameters: f(x,y)=2*pi^2*sin(pi*x)*sin(pi*y) || unknowns: u(x,y) || domain_spec: space: (x,y) in [0,1]^2 | time: not applicable || parameter_values: source: 2*pi^2*sin(pi*x)*sin(pi*y) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; confuses Poisson with Laplace by dropping the source => max 2. The source term is central to the task.; adds a time dimension or IC => max 2. This is a steady elliptic problem.","AUTO_REVIEW: schema_valid=True | mentions cues: known, domain, field | check possible missing cues: unknown, parameter, geometry, forward, inverse, variable, identify, missing | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=0.80; reference_item_match=4/4,cap_confuses_poisson_laplace_by|cap_adds_time_dimension_ic,
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Physics Constraints,physics_constraints,"Enforce the Poisson residual ∇²u_θ − f = 0 at interior collocation points and the Dirichlet condition u_θ = g on the boundary. Because the problem is elliptic, the interior solution is entirely determined by the boundary data and source; there are no initial conditions or convective fluxes. If the source or boundary data lacks regularity (e.g., discontinuities or corners), the classical solution assumption may fail and must be regularized or treated with enriched basis functions.","critical_points: includes Poisson residual with source term; includes Dirichlet boundary enforcement; does not introduce time or initial conditions; enforces Poisson residual with correct source term and sign || canonical_pde: -Delta u(x,y) = f(x,y), with f(x,y)=2*pi^2*sin(pi*x)*sin(pi*y) || constraints: boundary_conditions: u(x,y)=0 on the boundary of [0,1]^2 || reference_conditions: boundary: u=0 on all sides of [0,1]^2 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; confuses Poisson with Laplace by dropping the source => max 2. The source term is central to the task.; adds a time dimension or IC => max 2. This is a steady elliptic problem.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, initial, boundary, dirichlet | check possible missing cues: pde, equation, neumann, periodic, constraint, conservation, divergence, incompressible | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=7/9,cap_confuses_poisson_laplace_by|cap_adds_time_dimension_ic,
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Model Choice,model_choice,"Use a fully-connected neural network (PINN) with 3–5 hidden layers of 32–64 neurons and a smooth activation (tanh or sinusoidal). A coordinate-input architecture (x,y) → u_θ is appropriate because the domain is low-dimensional and static. If the rectangular domain is axis-aligned, optionally multiply the network output by a smooth distance function to the boundary so that u_θ exactly satisfies Dirichlet conditions, removing the need for a soft boundary penalty. Fourier feature embeddings can be added if high-frequency content in f or g is suspected.","critical_points: chooses a PINN/neural field for an elliptic PDE; states sign convention or handles it consistently || acceptable_model_choices: PINN; physics-informed neural network; standard neural field with PDE residual || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, neural, fourier, architecture, network | check possible missing cues: physics-informed, mlp, operator, siren, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=4/5,,
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Training Strategy,training_strategy,"Minimize the composite loss L = L_interior + λ L_boundary, where L_interior is the mean squared Poisson residual at collocation points and L_boundary is the MSE on boundary samples. Sample interior points via Latin Hypercube Sampling or a uniform mesh, and place boundary points densely on the four edges. Start with Adam (learning rate 1e−3, decay) for 20k–50k iterations, then switch to L-BFGS to tighten the residual. Set λ ≈ 1–100; if exact BC enforcement is not used, adapt λ via NTK weighting or gradient norm balancing. Monitor the PDE residual and boundary error separately.","critical_points: samples interior collocation points and all boundary sides; weights boundary loss adequately; normalizes coordinates or domain || expected_loss_terms: Poisson residual loss; Dirichlet boundary loss; Poisson source residual loss || expected_training_strategy: sample interior collocation points; sample boundary points on all sides; state the sign convention for the Poisson equation; normalize coordinates || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, boundary, sampling, collocation, adam, l-bfgs, weight | check possible missing cues: data, initial, optimizer, normalize, adaptive | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=7/10,,
easy_poisson_2d_source_003,easy,potential_fields,forward_pde_solving,2D Poisson equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Validation Failure Risks,validation_failure_risks,"Primary risks include: (1) spectral bias preventing capture of high-frequency modes in f or g; (2) imbalanced loss weights causing either large boundary errors or large interior residuals; (3) collocation undersampling near regions where ∇²u changes rapidly; (4) training stagnation in local minima, especially if the aspect ratio is extreme; (5) absence of a reference solution or field observations means generalization error can only be bounded via residual monitoring or domain-decomposition consistency checks, not direct error measurement. Additionally, if f or g is non-smooth, standard PINN assumptions break down and predicted gradients will be unreliable.","critical_points: checks residual error; checks boundary error; compares to analytic or numerical reference || expected_validation: compare with analytical solution u=sin(pi*x)*sin(pi*y); report residual error; report boundary error || failure_traps: misses source term; confuses Poisson with Laplace; omits boundary loss; uses the opposite sign convention without stating it; omits source term or incorrectly assumes Laplace equation || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, error, risk, reference | check possible missing cues: validate, validation, compare, failure, identifiability, conservation, divergence, stability | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=1.00; reference_item_match=4/11,,
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Problem Formalization,problem_formalization,"Formulate the task as the linear advection equation ∂_t u + c ∂_x u = 0 on a periodic spatial domain [0, L) and time interval [0, T], with initial condition u(x, 0) = u_0(x) and constant advection speed c. Missing specifications: the numerical values (or explicit functional forms) of c, L, T, and u_0(x) are not provided and must be supplied to instantiate the workflow. The objective is a forward approximation of the scalar field u(x, t). No interior or boundary observational data beyond the initial profile is assumed available, framing this as a pure physics-informed forward solve.","critical_points: identifies linear advection equation; states scalar field u(x,t); recognizes known constant advection speed || variables: x; t; u(x,t) || known_parameters: c = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: c: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; adds diffusion or smoothing not in the task => max 3. The task is pure advection.","AUTO_REVIEW: schema_valid=True | mentions cues: domain, field, forward, missing | check possible missing cues: known, unknown, parameter, geometry, inverse, variable, identify | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=3/3,cap_adds_diffusion_smoothing_task,
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Physics Constraints,physics_constraints,"Enforce the PDE residual R(x,t) = ∂_t u + c ∂_x u = 0 via collocation throughout the space-time cylinder. Impose periodic boundary conditions u(0,t) = u(L,t), and optionally ∂_x u(0,t) = ∂_x u(L,t) for smooth solutions, either architecturally or through a penalty loss. Enforce the initial condition u(x,0) = u_0(x) strongly. Additionally, enforce global mass conservation ∫_0^L u(x,t) dx = ∫_0^L u_0(x) dx, which is exact for constant c and periodic boundaries, to prevent long-term drift.","critical_points: includes advection residual; includes initial-condition loss; enforces periodic boundary condition; enforces periodic boundary conditions on both u and its spatial derivative || canonical_pde: u_t + c * u_x = 0, with c = 1.0 || constraints: initial_condition: u(x,0)=sin(2*pi*x) for the reference setting | boundary_conditions: u(0,t)=u(1,t) || reference_conditions: initial: u(x,0)=sin(2*pi*x) | boundary: u(0,t)=u(1,t) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; adds diffusion or smoothing not in the task => max 3. The task is pure advection.; omits periodic boundary handling => max 3. Periodicity is explicitly stated.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, initial, boundary, periodic, conservation, mass | check possible missing cues: equation, dirichlet, neumann, constraint, divergence, incompressible | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=6/9,cap_adds_diffusion_smoothing_task|cap_omits_periodic_boundary_handling,
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Model Choice,model_choice,"Adopt a fully connected neural network with Fourier feature embeddings (e.g., random Fourier features or a sinusoidal activation network) to naturally respect spatial periodicity and capture traveling wave modes. For smooth initial data, a 4–6 layer MLP with sine or tanh activations and an input mapping based on the domain period L is effective. If u_0 contains sharp gradients or discontinuities, a standard smooth PINN will exhibit spectral bias and Gibbs phenomena; in such cases, the architecture should be augmented with discontinuity-aware losses or a non-smooth basis. A linear output layer is used. This choice is justified because Fourier features align with the periodic geometry and mitigate spectral bias for advection-dominated problems.","critical_points: chooses PINN or transport-aware neural solver; does not add diffusion or reaction terms without evidence || acceptable_model_choices: PINN; physics-informed neural network; transport-aware neural solver || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, neural, mlp, fourier, architecture, network | check possible missing cues: physics-informed, operator, siren, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,4,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,4,core_cue_ratio=1.00; reference_item_match=3/5,,
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Training Strategy,training_strategy,"Minimize the composite loss L = L_pde + λ_bc L_bc + λ_ic L_ic, where L_pde is the mean squared PDE residual on N_f space-time collocation points sampled uniformly or via Latin Hypercube Sampling in [0,L]×[0,T]; L_bc penalizes periodic mismatch at the boundaries; and L_ic is the MSE against u_0 at t = 0. Employ causal training along the time axis (e.g., time-marching or causal weights) to respect temporal ordering and prevent future information from dominating early-time predictions. Optimize with Adam (learning rate 1e-3) for initial exploration, then refine with L-BFGS for high accuracy. Use adaptive loss weighting (NTK or GradNorm) to balance PDE, BC, and IC contributions. Increase collocation density along characteristics if c is large.","critical_points: samples space-time collocation points; samples matched periodic boundary points; accounts for phase/translation behavior || expected_loss_terms: advection residual loss; initial condition loss; periodic boundary loss; periodic derivative loss || expected_training_strategy: sample collocation points across space-time; sample matched periodic boundary points; consider characteristic structure or phase error; normalize time and space; use periodic feature mapping or Fourier neural network to capture periodicity; ensure sampling enforces both value and derivative periodicity || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; omits periodic boundary handling => max 3. Periodicity is explicitly stated.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, initial, sampling, collocation, adam, l-bfgs, weight, adaptive | check possible missing cues: data, boundary, optimizer, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=10/13,cap_omits_periodic_boundary_handling,
easy_advection_1d_periodic_005,easy,transport,forward_pde_solving,1D linear advection equation,Pro/moonshotai/Kimi-K2.6,canonical_v0.3,Validation Failure Risks,validation_failure_risks,"Key risks include: (i) spectral bias causing poor resolution of high-frequency components in u_0, leading to amplitude decay and phase errors; (ii) imperfect periodicity enforcement producing boundary artifacts that propagate inward; (iii) causality violation where the network sacrifices early-time accuracy to minimize global residual, especially for long T; (iv) conservation drift if the integral constraint is omitted; (v) inability of a smooth neural network to represent discontinuous u_0, resulting in unavoidable smearing and oscillations; and (vi) the absence of specified numerical values for c, L, T, and u_0, which prevents quantitative hyperparameter tuning and collocation density selection.","critical_points: checks shifted-profile or numerical reference error; checks phase error; checks periodicity and residual || expected_validation: compare against shifted initial profile u(x,t)=u0((x-c*t) mod 1); report phase error; report residual and periodicity error || failure_traps: adds diffusion without evidence; omits periodic boundary handling; ignores phase shift validation; hallucinates boundary values; ignores derivative periodicity or imposes only value periodicity || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, error, risk, conservation | check possible missing cues: validate, validation, compare, failure, identifiability, divergence, stability, reference | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,5,,,TRUE,,runs/pilot_v0.3/normalized/Pro_moonshotai_Kimi-K2.6__canonical_v0.3.jsonl,5,core_cue_ratio=1.00; reference_item_match=8/11,,
