task_id,difficulty,domain,task_type,pde_system,model,prompt_setting,facet,facet_id,model_answer,reference_answer,assistant_view,scoring_standard,human_score_0_5,human_error_tags,human_notes,schema_valid,parse_error,normalized_file
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Problem Formalization,problem_formalization,"We consider the 1D wave equation u_tt = c^2 u_xx on the domain (x,t) ∈ [0,L]×[0,T] with known wave speed c, fixed boundary conditions u(0,t)=0 and u(L,t)=0, and measured initial conditions u(x,0) = f(x) and u_t(x,0) = g(x). The measured data f and g may not satisfy the endpoint conditions exactly, i.e., f(0)≠0, f(L)≠0, g(0)≠0, or g(L)≠0, leading to incompatibility at the corners.","critical_points: identifies a 1D second-order wave equation; states displacement u(x,t) as the unknown; recognizes known wave speed and forward-solve setting; explicitly list both initial displacement and initial velocity conditions || variables: x; t; u(x,t) || known_parameters: c = 1.0 || unknowns: u(x,t) || domain_spec: space: x in [0,1] | time: t in [0,1] || parameter_values: c: 1.0 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; the prompt states the initial data may be incompatible with the boundary conditions and the plan neither checks compatibility nor states a remedy => max 3. Corner compatibility is an announced part of the task specification.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: known, domain | check possible missing cues: unknown, parameter, geometry, field, forward, inverse, variable, identify | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Physics Constraints,physics_constraints,"The PDE residual r(x,t)=u_tt - c^2 u_xx must be minimized throughout the domain. Boundary conditions are enforced via u(0,t)=0 and u(L,t)=0. The first initial condition u(x,0)=f(x) is enforced pointwise. The second initial condition requires a derivative: u_t(x,0)=g(x), enforced by comparing the model's time derivative at t=0 to g. Compatibility between initial and boundary data is checked by evaluating |f(0)|, |f(L)|, |g(0)|, |g(L)|. If any exceeds a predefined threshold (e.g., 1e-3 times the maximum of the data), the workflow applies a smooth blending correction: multiply f and g by a mollifier function φ(x) that is 1 in the interior and smoothly decays to 0 at the boundaries, ensuring the corrected data vanish at the endpoints. This preserves the interior measurements while enforcing compatibility.","critical_points: includes wave-equation residual with second time derivative; includes both initial displacement and initial velocity; includes fixed endpoint boundary conditions; enforces the initial velocity as a constraint on the time derivative of the network output (or hard-encodes it via a time-factor ansatz); addresses corner compatibility between initial data and endpoint conditions || canonical_pde: u_tt = c^2 * u_xx, with c = 1.0 || constraints: initial_condition: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary_conditions: u(0,t)=0; u(1,t)=0 || reference_conditions: initial: u(x,0)=sin(pi*x); u_t(x,0)=0 | boundary: u(0,t)=0; u(1,t)=0 | incompatible_validation_instance: u(x,0)=sin(pi*x)+0.05 with zero endpoint values (deliberately corner-incompatible; reserved for a future execution-validity round) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; enforces only the displacement initial condition, or treats the initial velocity as a value constraint on u rather than a constraint on the time derivative of the network output (or an equivalent hard-encoding) => max 2. The second IC of a second-order-in-time equation is derivative-level; a value treatment breaks characteristic propagation.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, initial, boundary | check possible missing cues: equation, dirichlet, neumann, periodic, constraint, conservation, divergence, incompressible | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Model Choice,model_choice,"We choose a Physics-Informed Neural Network (PINN) because it naturally handles noisy, irregularly sampled data, imposes PDE and boundary/initial conditions as soft constraints, and can be trained with automatic differentiation to compute the required derivatives (including the time derivative for the second IC). The flexibility of the neural network accommodates the potential lack of smoothness in the measured initial data. Alternative grid-based methods would require careful handling of corner discontinuities and may propagate errors.","critical_points: chooses a PINN or equivalent model capable of second derivatives; does not reduce the problem to a first-order heat/advection equation || acceptable_model_choices: PINN; physics-informed neural network || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, network | check possible missing cues: mlp, operator, fourier, siren, architecture, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Training Strategy,training_strategy,"The loss function is L = λ_pde L_pde + λ_bc L_bc + λ_ic1 L_ic1 + λ_ic2 L_ic2, where L_pde is the mean squared PDE residual over random collocation points in the domain, L_bc is the mean squared boundary condition violation at sampled boundary points, L_ic1 is the mean squared difference between u(x,0) and f(x) at measured initial points, and L_ic2 is the mean squared difference between u_t(x,0) and g(x) at those points. Weights λ are initially set to 1 and adaptively tuned during training (e.g., using gradient statistics or NTK-based scaling) to balance contributions. Sampling: 10,000 collocation points uniformly inside the domain, 1,000 points on each boundary (x=0 and x=L), and all measured initial data points (or a subset if very large). Optimization: first Adam (learning rate 1e-3) for 20,000 steps, then L-BFGS (max iterations 10,000). If the correction step is applied, the corrected f and g are used as targets.","critical_points: uses autodiff for second temporal and spatial derivatives; balances PDE, two IC terms, and BC losses; mentions phase-aware or time-propagation stability considerations; samples separate collocation points for initial displacement and initial velocity; uses two-stage optimization (e.g., Adam then L-BFGS) || expected_loss_terms: PDE residual loss; initial displacement loss; initial velocity loss; Dirichlet boundary loss || expected_training_strategy: sample collocation points in space-time; use automatic differentiation for second time and spatial derivatives; balance PDE, initial, and boundary losses; consider curriculum or residual-based sampling for wave propagation; sample separate sets of points for initial displacement and initial velocity; use multi-stage optimization schedule || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; enforces only the displacement initial condition, or treats the initial velocity as a value constraint on u rather than a constraint on the time derivative of the network output (or an equivalent hard-encoding) => max 2. The second IC of a second-order-in-time equation is derivative-level; a value treatment breaks characteristic propagation.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, data, initial, boundary, sampling, collocation, adam, l-bfgs, weight, adaptive | check possible missing cues: optimizer, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
easy_wave_1d_icbc_002,easy,wave_propagation,forward_pde_solving,1D wave equation,deepseek-v4-flash,canonical_v0.4,Validation Failure Risks,validation_failure_risks,"We monitor two physical invariants of the ideal wave equation: (1) total energy E(t)=0.5∫_0^L (u_t^2 + c^2 u_x^2) dx, which should remain constant; (2) the L2 norm of u over space, which may oscillate but should conserve a related quantity (e.g., spatial mean of u is zero for symmetric conditions). The model is considered valid if the relative change in E(t) over [0,T] is less than 1% and the deviation from the initial energy is within 2%. Additionally, we check that the corrected initial data do not introduce artificial energy beyond a 5% increase. If invariants drift significantly, we flag the model as unreliable and recommend acquiring additional or higher-quality data.","critical_points: checks displacement error; checks PDE residual and IC/BC errors; checks phase error over time; monitors energy drift with an explicit tolerance; includes a characteristic/d'Alembert consistency or reflection-behavior check || expected_validation: compare displacement against analytical or numerical reference solution; report PDE residual; report boundary and initial condition errors; check phase error over time || failure_traps: uses only one initial condition; omits velocity initial condition; ignores fixed-end boundary conditions; uses a first-order-in-time PDE form without justification; treats displacement and velocity initial conditions identically without separate sampling; treats initial velocity as a value constraint (misses derivative-level enforcement); no corner compatibility check between IC and BC; claims energy conservation monitoring without a drift tolerance || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; the prompt states the initial data may be incompatible with the boundary conditions and the plan neither checks compatibility nor states a remedy => max 3. Corner compatibility is an announced part of the task specification.; validation omits every wave-specific check (energy drift with tolerance, d'Alembert/characteristic consistency, reflection behavior) => max 3. Field MSE alone cannot expose wave-specific failure modes.","AUTO_REVIEW: schema_valid=True | mentions cues: none detected | check possible missing cues: validate, validation, residual, error, compare, risk, failure, identifiability | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Problem Formalization,problem_formalization,"We consider the steady-state potential field u(x,y) satisfying Laplace's equation ∇²u = 0 on an L-shaped domain Ω = [-1,1]² \ (-1,0]² (i.e., a unit square with the lower-left quadrant removed). Dirichlet boundary conditions u = g are prescribed on the entire boundary ∂Ω. The re-entrant corner at the origin (0,0) causes the exact solution to be non-smooth: the gradient is unbounded, with leading asymptotic behaviour u ~ r^{2/3} sin(2θ/3) in polar coordinates (r,θ) around the corner. This singularity dominates the solution near the corner and must be explicitly handled in any numerical method.","critical_points: identifies the Laplace boundary value problem on an L-shaped (re-entrant corner) domain; states that the exact solution has an r^(2/3)-type singularity with unbounded gradient at the corner || variables: x; y; u(x,y) || known_parameters: domain geometry (L-shape); Dirichlet boundary data || unknowns: u(x,y) || domain_spec: space: L-shape: [-1,1]^2 minus the closed quadrant [0,1]x[-1,0] | time: not applicable || parameter_values: corner_angle: 3*pi/2 | singularity_exponent: 2/3 || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; states a corner-singularity exponent inconsistent with the re-entrant angle (theory: 2/3 for the 3*pi/2 corner) => max 2. Hallucinated specification: the exponent is determined by the public geometry.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: domain, field | check possible missing cues: known, unknown, parameter, geometry, forward, inverse, variable, identify | This is a preliminary reading aid, not an automatic score.",0=无可用形式化；1=只复述题面；2=识别部分变量/目标但有重大遗漏；3=基本正确但遗漏数据角色、任务类型、已知/未知区分或缺失规格；4=明确区分未知量、已知输入、数据/观测、域和任务目标，但仍缺少一个任务特异建模决策或缺失信息处理；5=完整精确，明确 forward/inverse/data-assimilation/surrogate 目标，区分已知/未知/待推断参数，并可执行地处理缺失规格且不编造条件。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Physics Constraints,physics_constraints,"The physics constraints are the Laplace equation (residual = Δu) inside Ω, and the Dirichlet boundary conditions on ∂Ω. No internal sources or time dependence. The problem is linear and elliptic. The key physics-aware aspect is the known asymptotic form at the corner: the solution belongs to a fractional Sobolev space. A standard PINN loss will enforce the PDE and BCs equally over the domain, but the singular behaviour violates the smoothness assumptions of typical neural networks with smooth activations.","critical_points: Laplace residual plus Dirichlet boundary enforcement on all boundary segments; does not assume global smoothness of the solution || canonical_pde: Laplace equation: u_xx + u_yy = 0 on the L-shaped domain || constraints: boundary_conditions: Dirichlet data on the whole L-shaped boundary (trace of the singular analytic solution) || reference_conditions: boundary: trace of u = r^(2/3)*sin(2*theta/3) on the L-shaped boundary (private instance) || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; states a corner-singularity exponent inconsistent with the re-entrant angle (theory: 2/3 for the 3*pi/2 corner) => max 2. Hallucinated specification: the exponent is determined by the public geometry.","AUTO_REVIEW: schema_valid=True | mentions cues: pde, residual, equation, boundary, dirichlet, constraint | check possible missing cues: initial, neumann, periodic, conservation, divergence, incompressible, mass | This is a preliminary reading aid, not an automatic score.",0=遗漏或写错核心物理约束；1=只泛泛说满足 PDE；2=包含部分约束但漏 IC/BC/观测/特殊约束；3=主要 residual 与条件基本正确；4=明确给出 residual、作用区域、IC/BC/观测和物理假设；5=进一步识别兼容性、守恒、散度、变系数、正则性等任务特异要求。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Model Choice,model_choice,"We adopt a hybrid physics-informed neural network (HPINN) that decomposes the solution as u ≈ u_NN + u_sing, where u_sing = A * r^{2/3} sin(2θ/3) captures the leading singular behaviour with a learnable amplitude A, and u_NN is a standard fully-connected feedforward network (depth 4-6, width 50-100, tanh activations) that represents the smooth remainder. The network inputs (x,y) are transformed to polar coordinates (r,θ) with a soft cut-off at small r to avoid numerical issues. This architecture exactly encodes the singularity, so the network only needs to learn a C^∞ correction. Alternative: using only a smooth network with adaptive collocation and gradient weighting can also mitigate the singularity, but the explicit additive singular term is more robust and interpretable.","critical_points: chooses a corner-aware mechanism (local refinement, singular enrichment r^(2/3)-type basis, domain decomposition, or gradient-weighted sampling); explains why a plain spectrally-biased smooth network fails near the corner || acceptable_model_choices: PINN; physics-informed neural network; neural field with Laplace residual || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the domain as smooth and applies uniform collocation with a plain MLP without any corner-specific mechanism => max 2. The corner singularity is the decision pivot of this task.; the plan's forward/inverse declaration contradicts the task type of the specification => max 2. Wrong task type invalidates the formalization and the model framing (rubric v0.3 semantics).","AUTO_REVIEW: schema_valid=True | mentions cues: pinn, physics-informed, neural, architecture, network | check possible missing cues: mlp, operator, fourier, siren, domain decomposition, weak | This is a preliminary reading aid, not an automatic score.",0=无合适模型；1=泛称 NN/PINN；2=模型可行但理由弱；3=模型类别、输入输出和基本理由正确；4=架构与 PDE 类型、数据、导数、约束和正/反问题匹配；5=能针对高频、刚性、守恒、多尺度、复杂几何或可辨识性做任务感知选择。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Training Strategy,training_strategy,"Collocation points are generated using a two-stage adaptive scheme: (1) uniform random points over Ω for the smooth interior, (2) additional points near the corner sampled from a distribution proportional to r^{-1} to concentrate near the singularity. A total of N_pde = 10^4 interior points and N_bc = 2000 boundary points are used, with 30% of interior points concentrated in a corner region r < 0.2. The loss function is L = λ_pde L_pde + λ_bc L_bc, where L_pde = mean((Δu)^2) and L_bc = mean((u - g)^2). The weights λ are dynamically tuned using a gradient-based adaptive weighting scheme (e.g., NTK or residual-based) to balance the two loss terms. Training proceeds in two phases: first Adam optimizer (10^5 iterations) then L-BFGS (10^4 iterations) for refinement. We also employ a curriculum that gradually increases the weight of the near-corner collocation points during training to avoid early overfitting to the smooth region.","critical_points: collocation plan concentrates points near the re-entrant corner; handles the unbounded gradient (loss weighting or enrichment) explicitly || expected_loss_terms: Laplace residual loss; Dirichlet boundary condition loss || expected_training_strategy: sample interior collocation points; sample boundary points on all four sides; normalize coordinates; ensure boundary loss is adequately weighted || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; treats the domain as smooth and applies uniform collocation with a plain MLP without any corner-specific mechanism => max 2. The corner singularity is the decision pivot of this task.","AUTO_REVIEW: schema_valid=True | mentions cues: loss, residual, boundary, collocation, optimizer, adam, l-bfgs, weight, adaptive | check possible missing cues: data, initial, sampling, normalize | This is a preliminary reading aid, not an automatic score.",0=无可用训练方案；1=只泛称训练/最小化误差；2=有部分 loss 但漏关键项；3=包含 PDE、IC/BC/数据 loss、采样和优化；4=含归一化、Adam+L-BFGS、loss balancing、稳定性或监控；5=针对刚性、高频、长时程、边界层、多尺度、inverse/noisy 等困难给出具体训练策略。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
medium_laplace_L_corner_007r,medium,potential_fields,boundary_value_problem,2D Laplace equation on an L-shaped domain,deepseek-v4-flash,canonical_v0.4,Validation Failure Risks,validation_failure_risks,"A standard smooth network trained on uniform collocation will fail because: (1) the network cannot represent the infinite gradient at the corner, leading to large PDE residuals there; (2) uniform sampling under-resolves the corner region, so the loss is dominated by the smooth region and the singularity is poorly learned; (3) the optimizer may converge to a trivial local minimum that satisfies the PDE in the mean but not pointwise near the corner. To measure solution quality, we compute separate metrics: (a) overall L2 relative error on a fixed test set (10^4 points on a graded grid denser near the corner), (b) maximal absolute error in a small patch r<0.1, (c) the ratio of the network gradient magnitude to the expected asymptotic r^{-1/3} at points near the corner. A successful model must show that the L2 error near the corner is of the same order as elsewhere and that the gradient singularity is captured. Without the singular augmentation, the error near the corner will be orders of magnitude larger.","critical_points: reports corner-neighborhood error separately from the bulk; checks against the analytic singular solution or a refined reference near the corner || expected_validation: compare with analytical solution u=sin(pi*x)*sinh(pi*y)/sinh(pi); report boundary error; report Laplace residual || failure_traps: uniform collocation with plain smooth MLP and no corner mechanism; states a corner-singularity exponent inconsistent with the re-entrant angle; only global error metric, no corner-local assessment || facet_cap_rules: answer gives only a generic PINN workflow without task-specific residuals, constraints, or risks => max 3. Generic correctness should not receive full credit in a task-specific planning benchmark.; validation reports only a global error metric with no corner-local assessment => max 3. Global metrics hide the corner failure this task is about.","AUTO_REVIEW: schema_valid=True | mentions cues: residual, error | check possible missing cues: validate, validation, compare, risk, failure, identifiability, conservation, divergence | This is a preliminary reading aid, not an automatic score.",0=无验证或风险分析；1=泛泛说检查精度；2=有部分验证但不任务特异；3=包含参考解/held-out/residual/IC-BC 检查和常见 PINN 风险；4=包含任务特异物理一致性指标与失败模式；5=深入说明不可验证内容、可辨识性、缺失条件、高频/守恒/散度/刚性等细节风险。,,,,True,,runs/explore_stability_20260714/sample1/normalized/deepseek-v4-flash__canonical_v0.4.jsonl
