"id","difficulty","domain","pde_system","task_type","tags","source_category","primary_reference","provenance_note","problem","review_notes"
"easy_heat_1d_dirichlet_001","easy","heat_transfer","1D heat equation","forward_pde_solving","1d;parabolic_pde;dirichlet_bc;pinn","canonical_pde","Classic PDE / PINNacle-inspired","Adapted as a natural-language planning task; no numerical data copied.","A researcher wants to model heat diffusion along a one-dimensional rod over time. The temperature is fixed at both ends of the rod, and the initial temperature profile is known. Design a physics-informed modeling workflow to approximate the temperature field.","RESOLVED: alpha is known; spatial domain x in [0,1]; time interval t in [0,1]; homogeneous Dirichlet boundaries u(0,t)=0 and u(1,t)=0."
"easy_wave_1d_icbc_002","easy","wave_propagation","1D wave equation","forward_pde_solving","1d;hyperbolic_pde;initial_conditions;boundary_conditions;pinn","canonical_pde","Classic PDE / PINN literature","Adapted as a natural-language planning task; no numerical data copied.","A scientist needs to approximate the displacement of a one-dimensional vibrating string. The initial displacement and initial velocity are known, and both ends of the string are fixed. Design a physics-informed modeling workflow for the displacement field.","RESOLVED: fixed-end homogeneous Dirichlet boundaries u(0,t)=0 and u(1,t)=0; wave speed c is known and set to 1.0 for reference checks."
"easy_poisson_2d_source_003","easy","potential_fields","2D Poisson equation","forward_pde_solving","2d;elliptic_pde;source_term;dirichlet_bc;pinn","canonical_pde","PINNacle-inspired / classic elliptic PDE","Adapted as a natural-language planning task; no numerical data copied.","A researcher wants to solve a two-dimensional Poisson problem on a rectangular domain. The source term is known, and the solution value is prescribed on the boundary. Design a physics-informed modeling workflow to approximate the scalar field.","RESOLVED: rectangular geometry is [0,1]^2; use sign convention -Delta u = f with f=2*pi^2*sin(pi*x)*sin(pi*y) and homogeneous Dirichlet boundary from u=sin(pi*x)*sin(pi*y)."
"easy_burgers_1d_periodic_004","easy","fluid_dynamics","1D viscous Burgers equation","forward_pde_solving","1d;nonlinear_pde;periodic_bc;viscosity;pinn","original_pinn_literature","Original PINN / PDEBench-inspired","Adapted as a natural-language planning task; no numerical data copied.","A team wants to model a one-dimensional viscous Burgers system with periodic boundary conditions. The initial velocity profile is given, and the viscosity coefficient is known. Design a physics-informed modeling workflow for the velocity field.","RESOLVED: viscosity nu=0.01/pi; periodic domain x in [0,1]; mention steep-gradient risk but do not make shock behavior the central requirement."
"easy_advection_1d_periodic_005","easy","transport","1D linear advection equation","forward_pde_solving","1d;transport;periodic_bc;hyperbolic_pde;pinn","pdebench_inspired","PDEBench","Adapted as a natural-language planning task; no numerical data copied.","A researcher studies one-dimensional transport of a scalar quantity with constant advection speed. The initial profile is known, and the spatial domain is periodic. Design a physics-informed modeling workflow to approximate the scalar field over time.","RESOLVED: use constant advection speed c=1.0 on periodic domain x in [0,1]; variable velocity should be reserved for a harder variant."
"easy_reaction_diffusion_1d_006","easy","chemical_biology","1D reaction-diffusion equation","forward_pde_solving","1d;reaction_diffusion;parabolic_pde;pinn","pdebench_inspired","PDEBench / reaction-diffusion literature","Adapted as a natural-language planning task; no numerical data copied.","A scientist wants to model a one-dimensional reaction-diffusion process where a scalar concentration both diffuses and reacts according to a known nonlinear reaction term. Initial and boundary conditions are available. Design a physics-informed modeling workflow for the concentration field.","RESOLVED: scalar Fisher-KPP reference u_t=D*u_xx+r*u*(1-u), D=0.01, r=1.0, x,t in [0,1], zero-flux Neumann BC. Exact IC/BC are private execution references, not required public-answer details."
"easy_laplace_2d_boundary_007","easy","potential_fields","2D Laplace equation","boundary_value_problem","2d;elliptic_pde;boundary_value_problem;pinn","canonical_pde","Classic PDE / Poisson variant","Adapted as a natural-language planning task; no numerical data copied.","An engineer wants to estimate a steady-state potential field in a two-dimensional rectangular region. There are no internal sources, and boundary values are prescribed on all sides. Design a physics-informed modeling workflow for this boundary value problem.","RESOLVED: domain [0,1]^2; all boundaries use Dirichlet data from analytic solution u=sin(pi*x)*sinh(pi*y)/sinh(pi)."
"medium_advection_diffusion_008","medium","transport","Advection-diffusion equation","forward_pde_solving","1d_or_2d;advection_diffusion;peclet_number;stability;pinn","canonical_pde","Classic transport PDE / PDEBench-inspired","Adapted as a natural-language planning task; no numerical data copied.","A researcher wants to approximate the evolution of a scalar concentration governed by both advection and diffusion. The advection field and diffusion coefficient are known, and boundary and initial data are provided. Design a physics-informed modeling workflow that accounts for both transport and smoothing effects.","RESOLVED: use 1D advection-diffusion reference u_t+c*u_x=D*u_xx with c=1.0, D=0.01, x,t in [0,1], IC sin(pi*x), homogeneous Dirichlet BC. Periodic version remains task 015."
"medium_heat_inverse_alpha_009","medium","heat_transfer","1D heat equation","inverse_parameter_estimation","1d;inverse_problem;diffusion_coefficient;pinn","original_pinn_literature","Original PINN-style inverse problem","Adapted as a natural-language planning task; no numerical data copied.","A laboratory measures temperature at sparse space-time locations along a one-dimensional rod. The heat equation form is known, but the thermal diffusivity is unknown. Design a physics-informed modeling workflow to infer the diffusivity and reconstruct the temperature field.","RESOLVED: inverse reference alpha=0.5, 100 random sparse sensors, 1 percent Gaussian noise, IC sin(pi*x), homogeneous Dirichlet BC. Public does not fully specify IC/BC, so scoring should reward identifying missing/required conditions."
"medium_burgers_inverse_viscosity_010","medium","fluid_dynamics","1D viscous Burgers equation","inverse_parameter_estimation","1d;nonlinear_pde;inverse_problem;viscosity;pinn","original_pinn_literature","Original PINN / PDEBench-inspired","Adapted as a natural-language planning task; no numerical data copied.","A researcher observes sparse velocity measurements from a one-dimensional viscous Burgers system. The governing equation is assumed known, but the viscosity coefficient is unknown. Design a physics-informed modeling workflow to estimate the viscosity and recover the velocity field.","RESOLVED: inverse reference nu=0.01/pi, periodic BC, IC sin(2*pi*x), 200 sparse observations, 1 percent Gaussian noise. Public does not specify BC, so scoring should reward requesting boundary information."
